item_key,title,human_decision,current_buckets,applying
MZ3S3G8J,How ChatGPT and generative AI systems will revolutionize legal services and the ,discard,00-Queue,discard
XQX8GR8R,Bloomberg equity screening (EQS) exercise: environmental social governance (ESG),discard,00-Queue,discard
NDRXKBDP,A turing test: are AI chatbots behaviorally similar to humans?,discard,00-Queue,discard
IYYBVQQT,ChatGPT and academia on accounting assessments,discard,00-Queue,discard
2IYKM87Y,ChatGPT as the marketplace of ideas: should truth-seeking be the goal of AI cont,maybe,00-Queue,maybe
SXDQEG3R,Stress index strategy enhanced with financial news sentiment analysis for the eq,maybe,00-Queue,maybe
SN2KHCWU,Implement FRTB with generative ai models: a case study,discard,00-Queue,discard
R6PKY8NV,Gendering the new international convention on cybercrimes and new norms on artif,discard,00-Queue,discard
ZMWWZQY7,Disciplining banks through disclosure: evidence from CFPB consumer complaints,maybe,00-Queue,maybe
ZA5F8VJ8,The impact of&nbsp;generative ai (chatgpt) on&nbsp;the&nbsp;hr functions related,maybe,00-Queue,maybe
5YXAP8AN,Designing AI to help children flourish,discard,00-Queue,discard
JC8FW6AZ,Investment with new sentiment analysis in japanese stock market: expert knowledg,discard,00-Queue,discard
BHP5MUJA,"Artificial intelligence, audit risk, and regulatory uncertainty: a refined analy",maybe,00-Queue,maybe
GFTSRVCK,Assessing the use of AI tools for EFL exam preparation at saudi universities: ef,discard,00-Queue,discard
E5H4XA9J,A roadmap for agentic AI in financial services industry,keep,00-Queue,keep
DNLEBGHZ,Agentic artificial intelligence as a new frontier in information systems: promis,discard,00-Queue,discard
RSRC9HJ8,Freedom of expression in generative AI models,discard,00-Queue,discard
RZ38QT79,Leveraging AI to promote creativity and innovation in STEM education and problem,discard,00-Queue,discard
DTTZPSYH,Evaluating the accuracy of english-to-uzbek scientific text translation: a compa,discard,00-Queue,discard
I25WQRJR,"Next‑generation AI‑driven fraud management: integrating machine learning, graph ",discard,00-Queue,discard
MT6L8AUG,"The game you didn't know you were playing: manipulation, epistemic asymmetry and",keep,00-Queue,keep
MQ5Q37PX,A security-focused study on automated threat intelligence and risks of autonomou,discard,00-Queue,discard
KL94LN6X,Using sensitive data to debias AI systems: article 10(5) of the EU AI act,discard,00-Queue,discard
ZXEMWZ3J,Enhanced governance for facial recognition technology In the public sector,discard,00-Queue,discard
T6MYQZ2D,From text to multimodality: a survey on large-scale distributed language models ,discard,00-Queue,discard
XLI2RYHL,The reputation circulation standard (RCS): a post-scarcity economic protocol V1.,discard,00-Queue,discard
LXENI97V,Cartographic power: reality-protocol theory and the politics of the maps we live,discard,00-Queue,discard
BD83WAWV,"Risk, ambiguity, and infinity: behavioral signatures of modern large language mo",keep,00-Queue,keep
E74QS5GA,Design ethics in design intelligence: a framework for ethical AI-augmented desig,keep,00-Queue,keep
KVAPLBGN,From material civilization to consciousness civilization  why global governance ,discard,00-Queue,discard
A2FFRDDP,Consciousness and AI: a meta-reflective framework,discard,00-Queue,discard
F365ZXBX,"The dual nature of social media: information frictions, attention externalities,",keep,00-Queue,keep
TUSJC69L,Measuring values in large language models,discard,00-Queue,discard
TBZNY4G6,The Brussels side-effect: how the AI act can reduce the global reach of EU polic,maybe,00-Queue,maybe
ABDFJPZZ,AI liability in Europe: how does it complement risk regulation and deal with the,keep,00-Queue,keep
3B8NDLS8,Using intellectual property to regulate artificial intelligence,keep,00-Queue,keep
QCZGHKL6,Decentral intelligence agency: the law and autonomous artificial intelligence,keep,00-Queue,keep
CLLY28KV,Com&IP insights: a comparative & an inter-disciplinary newsletter (ed. 2023 NO.3,keep,00-Queue,keep
S57GJ9VD,Simplifying software compliance: AI technologies in drafting technical documenta,keep,00-Queue,keep
DM2XHMV9,The European union's approach to artificial intelligence regulation: balancing i,keep,00-Queue,keep
EPIZ2QCL,The constitution and artificial intelligence: the future of rights and governanc,keep,00-Queue,keep
8Z342WIC,Strategy as governance: the governance of AI in Africa,keep,00-Queue,keep
V3R66RYU,EU artificial intelligence act for fintech and finance,keep,00-Queue,keep
WVZ5GWEG,Fiduciary duties and business judgment rule 2.0 in the AI act age,keep,00-Queue,keep
95JDBG8F,Designing incident reporting systems for harms from general-purpose AI,maybe,00-Queue,maybe
X6TZFLVJ,Safeguarding intelligence: a comprehensive analysis of AI security and privacy i,keep,00-Queue,keep
G3WAWYHB,Governing rapid technological change: policy delphi on the future of European AI,maybe,00-Queue,maybe
KS3A9IIE,The operational gap in educational AI governance: a landscape analysis of intern,keep,00-Queue,keep
YE3TWRNP,How EU and U.S. frontier safety laws apply to chinese AI companies,maybe,00-Queue,maybe
IITL85U7,"Integrated policies for AI skills, shared compute, and governance infrastructure",keep,00-Queue,keep
3NBKLXY3,AURA: a minimal evidentiary layer for origin and consent signals in the AI era,maybe,00-Queue,maybe
TZFN9PMG,AIVO evidentia: an operational evidence layer for external AI representations,keep,00-Queue,keep
YJLK5FPA,Ethics for oversight and protection the constitutional case for AI governance in,keep,00-Queue,keep
D2YMP782,A private law framework for personal AI replicas: a comprehensive analysis of le,maybe,00-Queue,maybe
Z955M55A,Bummed about AI? What are you gonna do about it?,keep,00-Queue,keep
9B53AL9V,"Artificial intelligence safety: a comprehensive review of threats, governance fr",keep,00-Queue,keep
YHSP7V2U,Static rules for dynamic systems,keep,00-Queue,keep
2VGQVBQP,Artificial intelligence and global trade governance: a pluralist agenda,discard,00-Queue,discard
XHCXT8L5,AI and the regulatory challenge: a new framework using the seto loop,maybe,00-Queue,maybe
A89Y4K9Q,"AI capone, or the criminal masterminds of the future: the imagined possibilities",maybe,00-Queue,maybe
BMHS9L9D,Organizational readiness assessment models for AI integration in financial fraud,maybe,00-Queue,maybe
78SYSXLU,A framework for the adoption and integration of generative AI in midsize organiz,maybe,00-Queue,maybe
KPBVXIQC,Ternary logic (TL) as a global civicsystem: sovereign-grade evidentiary accounta,maybe,00-Queue,maybe
8RVCSXVH,Strategic technology sharing for a win-win outcome; what japan-south korea semic,maybe,00-Queue,maybe
627UAGB4,Creating hyper-personalized learning journeys using AI in SAP SuccessFactors LMS,discard,00-Queue,discard
NG9SITNU,Security and risk implications of transformer-based large language models,maybe,00-Queue,maybe
FFJ8L2DK,"Licensing, liability, and the speed of AI displacement: legal determinants of la",maybe,00-Queue,maybe
ALIBAKEJ,"Artificial intelligence, system optimization, and corporate strategy: why AI wil",discard,00-Queue,discard
RMRMXUT4,Skill poisoning: attack taxonomies and defense architectures for composable agen,keep,00-Queue,keep
QNJK3FK5,AI capital risk: why strong AI pilots fail to scale,maybe,00-Queue,maybe
HLUKEY9B,Large language models for supply chain decisions,maybe,00-Queue,maybe
PW5CXZYH,"Autonomy, authority, asymmetry: who really controls the future of the autonomous",keep,00-Queue,keep
BZ4K52DU,Responsible machine learning operations: closing the gap between speed and overs,keep,00-Queue,keep
F8DZBKQF,Trust and safety risk identification via public signals and human judgment,keep,00-Queue,keep
BKA9FXKP,From expert judgment to human-in-the-loop automation a systematic literature rev,maybe,00-Queue,maybe
GN6VHHWH,Regulating healthcare coverage algorithms in the shadow of ERISA,discard,00-Queue,discard
4WJNSATQ,A reliable knowledge processing framework for combustion science using foundatio,discard,00-Queue,discard
2KUF5ZVU,From biden to trump: divergent and convergent policies in the artificial intelli,maybe,00-Queue,maybe
AZZZLML4,ADR-driven development of a multi-agent workspace for productivity and coordinat,discard,00-Queue,discard
X4WH2HG2,Does agentic AI require new policy frameworks?,keep,00-Queue,keep
AGZ4GFT8,Implementation of AI in FinTech: how kazakhstan's digital leap is redefining fin,maybe,00-Queue,maybe
7RV3XLMV,From von neumann to intent-aware architecture: a thesis on verified execution an,keep,00-Queue,keep
9RMZIY6H,The copyright problem with emerging generative AI,maybe,00-Queue,maybe
4H7M5DGB,"Approaches to generative artificial intelligence, a social justice perspective",discard,00-Queue,discard
6SHU8PWW,Misdirection after a heist: rejecting necessity as a justification for copyright,discard,00-Queue,discard
B4RFHXND,The automation paradox,keep,00-Queue,keep
YT8JU5BT,"A survey of large language models for healthcare: from data, technology, and app",discard,00-Queue,discard
QY9TB795,A perspective toward generative-AI policymaking (GAP),maybe,00-Queue,maybe
R5KCAVE2,AI artists on the stand: bias against artificial intelligence-generated works in,discard,00-Queue,discard
5DMEXMK5,Section 230's immunity for generative artificial intelligence,keep,00-Queue,keep
R48ABLQF,Emotional manipulation by AI companions,maybe,00-Queue,maybe
MW4UJ28I,Remedying copyright infringement in generative AI. What role for algorithmic des,discard,00-Queue,discard
C26KTSDR,Majoritarian signals: harnessing GenAI to inform judicial standards,discard,00-Queue,discard
V8VN8ADN,Reflexivity without absolutism: a response on generative AI and qualitative rese,discard,00-Queue,discard
TTTD379W,Discrete prompt optimization using genetic algorithm for secure python code gene,discard,00-Queue,discard
TZTT7XXV,Implementing AI-driven decision support in agricultural lending through predicti,discard,00-Queue,discard
