item_key,sonnet_decision,sonnet_confidence,sonnet_rationale,opus_decision,opus_confidence,opus_rationale,escalation_reason,reviewer_decision,reviewer_notes
8GRSSX8L,maybe,medium,"AI-generated code for hardware verification with prompt engineering and oversight insights, but FPGA domain specificity requires argument to transfer to general software development governance workflows",keep,low,Closed-loop generation-verification methodology with documented prompt engineering lessons for AI-generated code; FPGA domain but the verification pattern and prompt discipline findings transfer to general code generation governance,opus_low_confidence,,
PB7TLUBD,keep,low,"Directly addresses AI-driven code review transformation in software engineering, but thin abstract prevents determining whether operationalizable methodology or descriptive reflection is offered",keep,low,Directly addresses AI-driven code review and refactoring in SE; 'reflects on' language suggests descriptive but domain alignment is exact — human should verify whether actionable methodology exists beyond reflection,opus_low_confidence,,
ZGUIZ7AP,maybe,medium,Proposes operationalized framework for meaningful human control with enforceable audit mechanisms for military AI — human control and audit components could transfer to software engineering oversight but military procurement domain requires translation,discard,low,Military procurement domain requires substantial re-derivation; 'meaningful human control' and 'audit mechanisms' are stated but the specific operationalization is tied to procurement and IHL contexts without transferable mechanism detail,opus_low_confidence,,
M87789CG,maybe,low,"Part of a series on accountability, auditability, and operational viability for probabilistic and agentic AI systems — thin abstract prevents confident assessment of whether structural commitment framework is operationalizable for software engineering code governance",discard,low,Abstract too thin to assess operationalizability; 'structural commitment' concept is philosophical framing without clear mechanism — series framing suggests theoretical work without engineering actionability,opus_low_confidence,,
4J2KY56A,maybe,medium,"Human-GAI collaboration trust and calibration findings are plausibly relevant to software oversight design, but the domain (general GAI teamwork) requires translation to code review contexts.",keep,low,Over-reliance and trust calibration dynamics in human-GAI collaboration provide transferable behavioral mechanisms for oversight design though code review translation requires interpretation,opus_low_confidence,,
2D5LCIUP,maybe,low,Distinguishes technical from governance AI audits with practical guidelines — potential tool for software organizations but abstract is too thin to assess scope or operationalizable content,keep,low,Technical vs governance audit distinction provides useful taxonomy for SE organizations structuring AI audit programs; thin abstract but the distinction itself is operationalizable,opus_low_confidence,,
JCAQ3AHU,maybe,medium,Practical AI compliance assessment methodology using Fraunhofer catalogue for EU AI Act; abstract too thin to confirm whether assessment scope covers software development contexts specifically,keep,low,Practical AI compliance methodology using established Fraunhofer Assessment Catalogue for EU AI Act; abstract is fragmentary but Fraunhofer catalogue is known to cover software/ML systems—practical compliance assessment tool likely operationalizable pending full-text verification.,opus_low_confidence,,
JUYPVSIW,keep,low,"No abstract available; title indicates empirical study of global AI coding tool diffusion and impact, which would be directly relevant to understanding AI code generation adoption at scale",keep,low,Title indicates empirical diffusion study of AI coding tools — directly within Tier 1 scope; absent abstract forces reliance on title but global adoption data would inform governance scaling decisions; human verification needed,opus_low_confidence,,
K8PJIPQJ,keep,low,"Claims reproducible AI auditing and governance infrastructure but single-sentence abstract prevents assessment of methodology, scope, or applicability to code contexts",keep,low,Claims reproducible AI auditing and bias detection infrastructure validated empirically; sparse abstract but empirical validation framing and practical/reproducible language suggest operationalizability worth verifying,opus_low_confidence,,
ZC86LTPH,maybe,medium,"Socio-technical enterprise AI adoption framework includes agentic AI governance components and structural governability of organizational knowledge, but the abstract is vague about whether the framework addresses code-specific governance or software development contexts.",keep,low,Agentic AI governance components and structural governability concept potentially applicable but abstract is vague about code-specific mechanisms; worth verifying implementation details,opus_low_confidence,,
JFYZV2MZ,maybe,low,"Title's 'scalable oversight' is directly relevant but the abstract is only keywords, making methodology and software-context applicability unassessable",discard,low,"Despite highly relevant title (scalable oversight, drift detection), keywords-only abstract prevents methodology assessment; human verification recommended given title relevance",opus_low_confidence,,
4LCRC3BZ,maybe,low,Title directly addresses meaningful oversight design for multimodal AI systems but absent abstract prevents assessment of methodology or transferability to software engineering contexts.,discard,low,Title addresses meaningful oversight design but absent abstract prevents verifying any operationalizable methodology or mechanism; cannot confirm the paper provides actionable contribution beyond conceptual framing.,opus_low_confidence,,
DC7AUEZU,maybe,low,"AI alignment mimicking accountability while evading it is governance-relevant, but the bare title with no abstract prevents evaluating methodology or software applicability.",discard,low,Absent abstract prevents evaluating methodology or software applicability; title suggests governance-relevant critique but cannot confirm operationalizable contribution.,opus_low_confidence,,
S5ZBQ5QW,maybe,low,Human-AI teaming literature review title suggests governance relevance but the absent abstract prevents evaluating contribution to code review or software oversight contexts.,discard,low,Absent abstract prevents evaluating whether the Human-AI teaming review synthesizes transferable mechanisms or remains a general literature survey without code review applicability.,opus_low_confidence,,
RN7NR3UM,maybe,low,"Proposes an operational governance framework with immutable audit logs compatible with NIST AI RMF, but the abstract emphasizes philosophical foundations over practical software-applicable mechanisms, leaving domain fit unresolvable from the abstract.",keep,low,Immutable audit logs and demonstrated interoperability with NIST AI RMF and EU AI Act provide actionable compliance alignment mechanism; philosophical emphasis warrants human verification of practical applicability.,opus_low_confidence,,
9NY6ZFHY,discard,low,Empty abstract prevents assessment of methodology; title claims AI coding increases technical debt but no findings or measurement method are visible to evaluate operationalizability.,keep,low,Title directly addresses AI-assisted programming increasing technical debt — exactly the risk measurement this SLR needs; empty abstract prevents methodology verification but topic alignment warrants human verification rather than discard,opus_low_confidence,,
555NUHVA,maybe,medium,"Prototypes EU AI Act Articles 13 and 52 transparency requirements with legal feedback, potentially guiding SE org compliance implementation, but primarily policy-level analysis without clear engineering controls.",keep,low,'Prototyping' implies practical implementation attempt rather than pure legal analysis; policy-to-practice translation could yield actionable compliance guidance but abstract doesn't confirm engineering controls — human should verify,opus_low_confidence,,
EZVVZMPM,maybe,medium,"Evaluator Age framework repositioning enterprise roles around human evaluation of AI outputs may transfer to software engineering oversight scaling, but applicability depends on specificity of the governance and analytics models presented.",keep,low,"Evaluator role repositioning framework could provide organizational structure for scaling code review oversight, but 'analytics models' specificity unclear — human should verify mechanism depth",opus_low_confidence,,
9E8E27L7,maybe,medium,"Decision-boundary construct (admissibility, escalation, override, accountability) for GenAI could transfer to code review escalation governance design, but it originates from business-strategy effectuation theory requiring substantial re-derivation",keep,low,"Decision boundary constructs (admissibility, escalation, override, accountability) map directly to code review governance design despite effectuation theory origin — translation is non-trivial but concepts are operational; human verify",opus_low_confidence,,
9NFBWNGF,maybe,medium,Layered GenAI safety framework with explicit HITL integration at each development stage (Training Data through Societal Impact) could inform AI deployment governance but appears conceptual without empirical validation or software-engineering-specific application,keep,low,Layered GenAI safety framework integrating HITL at each development stage (Training through Societal Impact) provides actionable governance structure; conceptual nature means adaptation may be needed but layer-stage approach is operational,opus_low_confidence,,
BZD4TI55,maybe,low,GitHub Copilot study in software engineering domain identifying code quality and trust concerns as unresolved — thin abstract does not reveal measurement methodology or whether findings are operationalizable beyond establishing that problems exist,discard,low,"On-topic (GitHub Copilot, code quality, trust) but thin abstract reveals no methodology or findings; indicates descriptive investigation of unresolved concerns rather than quantified measurement or operationalizable contribution",opus_low_confidence,,
PJ7WAG66,maybe,low,"AI accountability framework from established researchers (Novelli, Taddeo, Floridi) — no abstract provided prevents assessment of methodology, domain applicability, or whether operationalizable mechanisms are presented",discard,low,No abstract available to assess operationalizability; title suggests explanatory/definitional treatment of accountability concept rather than operational framework with mechanisms,opus_low_confidence,,
TPV2AGCB,maybe,low,"No abstract available; title suggests empirical study of human-AI collaboration behaviors in LLM-assisted writing that might generalize to code review oversight, but domain and methodology cannot be assessed",discard,low,No abstract available; writing domain requires translation argument to code review; cannot verify transferable operational contribution or behavioral patterns that would apply to code oversight,opus_low_confidence,,
Y4YHMRYE,maybe,low,Title implies actionable security testing findings but the abstract is truncated and shows only exploratory framing — no measurement methodology or governance mechanism is confirmed.,discard,low,"Title is directly relevant but truncated abstract shows only exploratory framing ('examines', 'exploring') without confirmed methodology or findings; cannot verify operationalizable contribution.",opus_low_confidence,,
3XJHPV3K,maybe,medium,"Quantifies LLM safeguard degradation with measurable deviation and compliance rate metrics across interaction volume — operationalizable monitoring signals, but the domain is conversational AI not code generation specifically",keep,low,"Quantifiable safeguard degradation metrics (deviation rates, compliance decay over interaction volume) provide monitoring signals; mechanism could detect AI coding tool drift but conversational AI domain limits direct applicability",opus_low_confidence,,
HQIXPITB,maybe,medium,Clarifies HITL/HOTL/HOVL control distinctions for AI system architecture using Parasuraman-level framing; operationalizability for code review depends on prescriptive content not confirmed by abstract,keep,low,Parasuraman-level framework clarifying HITL/HOTL/HOVL control distinctions for AI system architecture; prescriptive content uncertain but definitional framework informs oversight design choices,opus_low_confidence,,
FTICIPDY,keep,low,"'Interpretive sovereignty failure' as an interaction-level safety risk in human-AI systems is topically relevant to code review oversight failure modes, but the near-keyword-only abstract prevents confident scope or methodology assessment",discard,medium,Keyword-only abstract prevents assessment of whether 'interpretive sovereignty failure' concept is operationalizable or merely conceptual,sonnet_opus_conflict,,
7QVX75AV,maybe,medium,"Multi-agent HITL pipeline for scaling empirical research with human oversight shares structural features with code review scaling, and explicit 'vibe research' framing suggests intentional parallel, but economic research domain requires transfer argument",keep,low,Multi-agent HITL architecture for scaling research with explicit 'vibe research' framing suggests structural parallel; transfer to code review plausible but domain-specific mechanisms unclear,opus_low_confidence,,
9SWGI2RY,keep,low,"Addresses AI model backdoor detection with named tools (Neural Cleanse, STRIP) and EU AI Act audit compliance, but the one-sentence abstract prevents confirming operationalizable methodology scope for software engineering orgs.",keep,low,"Names operationalizable backdoor detection tools (Neural Cleanse, STRIP) for model validation audits, but one-sentence abstract prevents confirming methodological depth beyond tool enumeration.",opus_low_confidence,,
FWE8KERE,maybe,medium,"Presents a five-layer agentic AI governance framework claiming production validation, but derivation from a single survival-maximization objective function raises operationalizability questions that require reading beyond the abstract.",keep,low,"Five-layer governance framework claims production validation for agentic AI, but 'survival maximization' objective function and axiomatic derivation raise questions about practical operationalizability vs theoretical contribution.",opus_low_confidence,,
24ZVGAAA,maybe,medium,Empirical TLoD risk management framework study with Dutch public sector orgs — governance distribution mechanism is operationalizable but requires domain re-derivation from public sector ethical AI to software code risk.,discard,low,"TLoD framework distributes risk management responsibility operationally, but application is to ethical AI risks in public sector adoption broadly — translation to code quality governance in software teams requires re-derivation the paper doesn't perform",opus_low_confidence,,
BT4UHCN5,maybe,low,Proposes intent-aware AI code generation paradigm with HITL design addressing intent-code misalignment — concept is relevant to code governance but abstract is truncated and methodology is unclear.,keep,low,Addresses intent-code misalignment in AI code generation with explicit HITL design — problem statement is exactly vibe coding's core challenge; methodology unclear from truncated abstract but concept warrants inclusion,opus_low_confidence,,
ZZLFGHQX,maybe,low,"Title directly names vibe coding but abstract is absent, making it impossible to determine whether the paper presents governance or risk implications versus a purely aesthetic or definitional critique.",discard,low,Title directly names vibe coding but empty abstract prevents assessment; 'aesthetic homogenization' suggests quality critique rather than governance framework — cannot confirm operationalizability,opus_low_confidence,,
M964K4XX,maybe,medium,"Comparative analysis of governance frameworks including NIST AI RMF and SOC 2 could yield software-relevant insights, but the abstract is too thin to confirm whether software systems or code are substantively addressed.",keep,low,Comparative analysis includes SOC 2 and NIST AI RMF which are directly used by software organizations for compliance; framework comparison could yield actionable guidance but abstract thinness warrants human verification.,opus_low_confidence,,
LUA6VMXR,maybe,medium,"Technical AI agent design paper for law/finance that examines safety layers (termination conditions, human escalation protocols) with structural parallels to code review oversight pipelines, but requires domain translation not resolvable from abstract.",keep,low,Termination conditions and human escalation protocols for AI agents are structural safety mechanisms transferable to code review pipelines; law/finance domain requires translation but mechanisms are architectural.,opus_low_confidence,,
I9RP82ZF,maybe,medium,Legal AI paper examining automation bias and automation complacency in AI-assisted decisions — these concepts transfer directly to code review oversight but the paper lacks a software engineering domain anchor.,keep,low,Automation bias and automation complacency are well-documented cognitive failure modes directly applicable to code review oversight; mechanisms transfer without domain re-derivation despite legal framing.,opus_low_confidence,,
4UQ2LF3J,maybe,medium,Proposes formal metrics for AI-mediated enterprise decisions and legal accountability — transferability to software engineering team accountability for AI-generated code is plausible but domain is legal/corporate rather than SE.,keep,low,'Operationalising' in title with 'formal metrics' for AI-mediated enterprise decision accountability suggests actionable framework structurally relevant to code review governance accountability.,opus_low_confidence,,
EVZAIJTY,maybe,medium,"ML reliability evaluation methodology including memorization quantification for generative AI at scale is potentially operationalizable for software teams but abstract conflates technical evaluation with copyright legal analysis, leaving scope unclear.",discard,low,"Methods for evaluating generative AI including memorization quantification could inform code generation risk assessment, but abstract conflates technical evaluation with copyright legal scholarship leaving operational scope unclear.",opus_low_confidence,,
MI86B4XX,maybe,medium,LLM-driven BDD artifact generation merged via human PR review with measured outcomes — has a human-in-the-loop review workflow for AI-generated software artifacts but the paper's focus is productivity efficiency rather than governance or risk.,discard,low,"LLM generates BDD artifacts merged via human PR review with measured efficiency gains — demonstrates working HITL for AI-generated software artifacts but contribution is productivity measurement, not governance framework or risk assessment.",opus_low_confidence,,
