item_key,decision,confidence,rationale,note
GRUY5WWY,maybe,medium,Empirical human-subject study of LLM-generated software artifacts (Gherkin specs) with quantified quality metrics and systematic finding that omissions and hallucinations require mandatory human review,promoted_from_phase1_maybe
3G2VGHVS,maybe,high,"LLM-based threat modeling tool with structured workflow stages, CAPEC retrieval, and human oversight integration outperforms baselines and is directly deployable for SE security risk assessment",promoted_from_phase1_maybe
PD2YN98L,maybe,medium,Controlled experiment quantifies automation bias when accepting AI vs. human security recommendations by expertise level — operationalizes trust calibration signal for AI-assisted security decisions.,promoted_from_phase1_maybe
A9DB26SS,maybe,medium,"LLM multi-agent framework for commit untangling achieves 44-82% improvement over baseline by separating mixed changes — directly reduces code review complexity and reviewer burden, operationalizable for engineering teams",promoted_from_phase1_maybe
8RRJH6H4,maybe,high,"Directly operationalizable for SE infrastructure teams: RIVA multi-agent cross-validation mechanism restores IaC drift-detection accuracy from 27% to 50% under erroneous tool responses, providing a concrete reliability pattern for agentic code verification.",promoted_from_phase1_maybe
A5LVWQT2,maybe,high,Reports large-scale implementation of multi-LLM pipeline for code documentation at BNP Paribas with hybrid human-review governance,promoted_from_phase1_maybe
5RSE2SYS,maybe,medium,Experimentally quantifies algorithm aversion and overconfidence dynamics in AI-assisted judgment,promoted_from_phase1_maybe
ZKPDVADF,maybe,medium,"Open-source developer command center with AI-readiness scoring algorithm, historical review intelligence pipeline, and agent observability layer provides directly actionable tooling for governing AI-augmented code review workflows",promoted_from_phase1_maybe
CWKDWTGM,maybe,high,Multi-agent system that automatically validates AI-generated software against user intent via live requirements traceability recovery — directly operationalizable for SE oversight of AI code,promoted_from_phase1_maybe
NRRI3E6K,maybe,high,HITL partial ordering system for software engineering that demonstrably reduces human expert fatigue while maintaining solution quality — directly applicable to code review scalability under AI volume,promoted_from_phase1_maybe
T9RPVMRV,maybe,medium,"Systematic review of factors influencing algorithm aversion provides actionable framework for software engineering teams designing human oversight of AI-generated code, addressing individual, task, and system-level trust calibration.",promoted_from_phase1_maybe
7PA6MQ84,maybe,medium,HITL governance workflow with staged auditable checkpoints for LLM-assisted SQL code migration — operationalizable pipeline architecture for governing AI-generated code with controlled human review gates,promoted_from_phase1_maybe
2NRBEMVD,maybe,high,"Research roadmap for human-in-the-loop fuzz testing with specific mechanisms (human monitoring, steering, LLM collaboration) directly applicable to software security testing governance",promoted_from_phase1_maybe
Z76WEF74,maybe,medium,"ANN-ISM framework with 5-level maturity model empirically identifies 15 software coding risk categories and 158 AI-driven mitigation practices, directly operationalizable for SE organizations managing cybersecurity across coding maturity stages.",promoted_from_phase1_maybe
ULQQL837,maybe,high,"Comprehensive review of AI-driven automated code refactoring with human-in-the-loop feedback, CI/CD quality gates, and explainability mechanisms — operationalizable taxonomy directly applicable to AI-assisted code transformation governance.",promoted_from_phase1_maybe
DS7JVX5P,maybe,medium,CHILL framework combining human expert and AI agent to manage SOC alert fatigue — direct structural parallel to code review scaling where high-volume AI-generated alert oversight mirrors reviewer fatigue with AI-generated code.,promoted_from_phase1_maybe
NNXYGMWF,maybe,medium,Multi-agent adversarial framework with counterfactual verification for AI code generation provides operationalizable cognitive bias detection mechanism achieving measurable quality improvements on standard benchmarks,promoted_from_phase1_maybe
Z8J3A8XS,maybe,medium,"Multi-agent framework emulating software process models (Waterfall, TDD, Scrum) achieves measurable code quality improvements with explicit review and testing roles providing operationalizable governance structure for AI-generated code workflows",promoted_from_phase1_maybe
KNSA4Q3I,maybe,medium,Repository mining case study defines four software process compliance metrics and measures their impact on source code quality — operationalizable audit framework applicable to AI-assisted code governance,promoted_from_phase1_maybe
ZIZEXNWD,maybe,high,Controlled experiment (N=78) quantifies vibe coding epistemic debt and validates an Explanation Gate mechanism enforcing teach-back before AI code integration — directly operationalizable oversight tool for SE AI code governance,promoted_from_phase1_maybe
TE7B3DJG,maybe,high,"Runtime-structured task decomposition architecture for agentic coding systems (debugging, root cause analysis, code review) quantifiably reduces retry costs by 51.7–73.2% — directly operationalizable for improving AI code governance reliability",promoted_from_phase1_maybe
N4P48NBN,maybe,high,Multi-vocal literature review synthesizing 114 studies on LLM multi-agent code generation into six challenge categories with solutions and future directions — directly operationalizable for software orgs governing AI code generation at scale,promoted_from_phase1_maybe
PQX7QNCB,maybe,high,Empirical benchmark quantifies LLM agent failures in microservice code generation (best Pass@1 = 23.67%) with deficiency analysis of architectural coherence and cross-file consistency — reproducible quality metrics directly operationalizable for AI code governance.,promoted_from_phase1_maybe
9NQ9XPHI,maybe,high,DeSec method uses token-level features to detect real secrets memorized by Code LLMs distinguishing them from hallucinated ones — operationalizable privacy risk detection tool for organizations deploying AI code generation models,promoted_from_phase1_maybe
2VJTDVL3,maybe,high,Empirical evaluation quantifying error rates (9.68–48.38%) across three LLMs for code generation with quality and performance metrics — directly operationalizable for organizational AI code risk scoring,promoted_from_phase1_maybe
RXNR8N95,maybe,high,"End-to-end benchmark quantifying AI coding agent performance across architecture design, functional correctness, and iterative refinement (27.38% overall acceptance rate) directly operationalizes measurement of AI code generation quality.",promoted_from_phase1_maybe
X48WHCT3,maybe,medium,"LLM-powered decompiler empirically reduces smart contract auditing workload, operationalizing AI-assisted code transparency and auditability in a live developer study",promoted_from_phase1_maybe
Y4F6UMNC,maybe,medium,"Proposes a novel evaluation methodology for LLM effectiveness in identifying and correcting code anomalies (bugs, vulnerabilities) applied to OpenAI Codex — operationalizable framework for assessing AI code quality tools, though abstract is vague on reproducibility details.",promoted_from_phase1_maybe
9GSHXQZQ,maybe,medium,"Practical guide identifying and fixing common LLM failure modes (hallucination, truncation, lost-in-the-middle) aligned with EU AI Act Article 14 human oversight — operationalizable guardrail patterns for organizations deploying LLMs in development workflows.",promoted_from_phase1_maybe
RBKE3GQE,maybe,medium,Proposes a dual-validation framework with human-in-the-loop assessment for LLM-generated software models across quality dimensions — directly applicable to AI code artifact quality assurance workflows.,promoted_from_phase1_maybe
PK8DGS2Y,maybe,high,Function-level vulnerability detection framework using LLM chain-of-thought reasoning provides a directly operationalizable mechanism for identifying security risks in AI-generated code.,promoted_from_phase1_maybe
ELCPZ5UU,maybe,high,Empirical comparison of GenAI vs security expert quality in security requirements specification provides a reproducible quality benchmark directly operationalizable for software security engineering,promoted_from_phase1_maybe
UNP6DI97,maybe,medium,"Empirical evaluation of LLM-based serverless misconfiguration detection with precision/recall metrics provides an operationalizable quality signal, though it is primarily a tool-capability study rather than an org governance framework",promoted_from_phase1_maybe
K8GGV6YS,maybe,high,"Provides concrete governance model (roles, responsibilities, internal controls, procedures, infrastructure) for accountable AI decision systems with IT audit case study — directly operationalizable for engineering orgs",promoted_from_phase1_maybe
UD5ENVQN,maybe,medium,"Directly addresses vibe coding as a risk and proposes a code-first workflow framework as an operationalizable alternative, keeping humans in control of agentic workflow structure.",promoted_from_phase1_maybe
6SJ93GKA,maybe,high,"Provides operationalizable observability framework (logging, cost tracking, prompt transparency) for agentic code generation with benchmarked cost and reliability improvements in production.",promoted_from_phase1_maybe
V9AFSF4Z,maybe,high,Production deployment of LLM-as-judge validation for automated security rule generation achieves measurable false positive reduction (67%) — directly operationalizable for AI-assisted SE security governance at scale.,promoted_from_phase1_maybe
GYDZVK9J,maybe,medium,Design science study with 12 experts on LLM-assisted cybersecurity risk assessment in software teams finds human oversight is necessary for accuracy and identifies trust calibration patterns for scaling security expertise with AI assistance.,promoted_from_phase1_maybe
6VTG8NX7,maybe,medium,"Enterprise Anchors operating model explicitly addresses LLMOps, guardrail engineering, and HITL mechanisms for the agentic era — framework components directly applicable to software engineering organizations deploying AI coding agents.",promoted_from_phase1_maybe
2EERKU2Q,maybe,medium,"Proposes Vibe-Check Protocol with three quantitative metrics for measuring cognitive offloading in vibe coding (skill decay, hallucination detection, comprehension gap) — operationalizable framework for assessing developer oversight capability with AI-generated code",promoted_from_phase1_maybe
ZS3F6ZS7,maybe,high,Neuro-symbolic framework for autonomous vulnerability discovery in DevSecOps pipelines validated on real CVEs — operationalizable as a scalable complement to manually curated SAST rule sets.,promoted_from_phase1_maybe
A53KLK4V,maybe,medium,"Proposes FoSAC-Ed framework with human-AI code review loops and code provenance awareness for security-aware AI coding — operationalizable pedagogical structure for governing AI code adoption, though evidence base is explicitly preliminary.",promoted_from_phase1_maybe
IKB4DBP9,maybe,medium,Multi-agent LLM system for agile requirements management with explicit human-in-the-loop oversight feedback loops — operationalizable architecture for AI-assisted software development with human oversight preserved.,promoted_from_phase1_maybe
6U3XNIWZ,maybe,high,Empirical study (N=243) showing programmer preferences for LLMs do not correlate with actual productivity — directly motivates need for better proxy signals for AI code oversight and quality measurement.,promoted_from_phase1_maybe
F7RV34Q2,maybe,high,"CoRe multi-agent LLM system empirically outperforms state-of-the-art code reviewer recommendation on four projects, directly addressing the reviewer assignment bottleneck in high-volume PR review pipelines.",promoted_from_phase1_maybe
YKLEPERJ,maybe,high,Empirical study of 567 agentic coding PRs showing 83.8% acceptance and quantifying human revision needs by task type — directly operationalizable for calibrating oversight of AI-generated code at scale.,promoted_from_phase1_maybe
6WUJUVEI,maybe,high,Empirical study of 567 agentic coding PRs showing 83.8% acceptance and quantifying human revision needs by task type — directly operationalizable for calibrating oversight of AI-generated code at scale.,promoted_from_phase1_maybe
9ZG3MJE6,maybe,medium,Empirical security analysis of agentic AI communication protocols with 14-point vulnerability taxonomy and proposed STE architecture — directly actionable for software teams deploying multi-agent AI systems.,promoted_from_phase1_maybe
7Z7TRTVA,maybe,medium,"Two large empirical studies (N=648 combined) quantifying automation bias mechanisms including task complexity, competence, and reliability moderators in corporate AI settings — psychological mechanisms directly transfer to developer over-reliance on AI code review despite the social robot context",promoted_from_phase1_maybe
3QCCTEE5,maybe,high,Empirical measurement of ChatGPT code refactoring correctness (29% vs 67% for traditional tools) with reproducible methodology across 200 test cases directly establishes AI code quality baseline for organizational risk assessment,promoted_from_phase1_maybe
M45GXZGI,maybe,high,"DRCodePilot achieves 4.7x improvement in GPT-4 code patch correctness by incorporating human design rationale, providing a concrete and quantified HITL workflow for scaling accurate AI-assisted program repair",promoted_from_phase1_maybe
E2CG6J2D,maybe,medium,Human review capacity allocation framework for AI-augmented enforcement where review capacity is a binding constraint transfers structurally to code review triage when AI-generated volume exceeds human throughput.,promoted_from_phase1_maybe
B8AA63I5,maybe,medium,"Pre-deployment HITL integration testing framework adapted from software testing concepts addresses how AI feature behaviors evolve over time, applicable to governing AI feature releases.",promoted_from_phase1_maybe
ZM9G7Z4C,maybe,high,Empirical measurement of 567 agentic coding PRs showing 45.1% require human revision with task-type breakdown — directly operationalizable for calibrating human review effort and triage policy for AI-generated code,promoted_from_phase1_maybe
BRRHUZV7,maybe,high,"Empirical benchmarking of five LLMs on code refactoring across 30 Java projects with unit test and code smell metrics identifies where human oversight outperforms LLMs, directly operationalizable for AI-assisted code quality governance.",promoted_from_phase1_maybe
R233Z3FN,maybe,medium,"Empirical evaluation quantifies when LLM-generated code diversity and correctness improve N-version programming reliability — operationalizable finding for fault-tolerant AI-assisted software development, though NVP context limits directness.",promoted_from_phase1_maybe
7X9MGMP8,maybe,high,Comprehensive survey of 151 software defect datasets including agentic AI development contexts provides the measurement infrastructure for benchmarking AI code defect rates,promoted_from_phase1_maybe
SN4S3QVE,maybe,medium,Proposes architectural governance for multi-agent LLM systems addressing supervisibility collapse and role drift — structural parallels to governing AI coding agent pipelines are clear but transfer requires explicit software context mapping,promoted_from_phase1_maybe
ZRG2WUU3,maybe,medium,"Patched RTC provides a self-evaluating consistency measurement framework for LLMs on software tasks (code review, bug fixing) that operationalizes an automated quality signal for AI code governance",promoted_from_phase1_maybe
TN8CZFUX,maybe,high,OWASP Top 10 for LLM Applications is a directly actionable security risk taxonomy for software organizations deploying LLM-based tools.,promoted_from_phase1_maybe
95JDBG8F,maybe,medium,"Incident reporting system design for general-purpose AI harms provides an operational governance infrastructure directly transferable to software organizations tracking AI code failures, including mechanisms for information sharing and harm classification.",promoted_from_phase1_maybe
DIRQXTIC,maybe,medium,"Empirical multi-study measurement of programmer trust calibration with AI advice, covering acceptance rates across reception groups — directly relevant to human oversight behavior for AI-generated code though framed as advice-taking rather than code review.",promoted_from_phase1_maybe
2UR3RFYR,maybe,medium,ANN-ISM methodology with expert panel validation and case study operationalizes SME cybersecurity threat detection in software development as a reproducible risk management framework,promoted_from_phase1_maybe
LXBF2JGJ,maybe,high,"Quantifies LLM code refactoring quality with reproducible metrics (TPP, LOC, cyclomatic complexity) and validates that human-in-the-loop evaluation is necessary when automated metrics diverge from human judgment",promoted_from_phase1_maybe
VSTFC4BU,maybe,high,"Proposes a structured catalogue of 38 standardized evaluation metrics for LLM-based multi-agent software engineering frameworks, directly operationalizable for reproducible assessment of AI coding tools",promoted_from_phase1_maybe
LWA79NMB,maybe,high,"FURINA multi-agent framework for automated AI-generated patch correctness assessment with interpretable reasoning directly operationalizes LLM-based oversight of AI patches in software engineering, outperforming SOTA baselines",promoted_from_phase1_maybe
HUXCUJWV,maybe,high,Empirically quantifies code review as 59.4% of total token consumption in LLM multi-agent software engineering — directly operationalizable finding for understanding where AI-driven code oversight costs concentrate at scale,promoted_from_phase1_maybe
GI28TWNV,maybe,medium,Vibe-coded theorem prover empirically documents state-of-the-art LLM failures on complex algorithmic code generation — operationalizable evidence for calibrating AI code generation risk on complex software tasks,promoted_from_phase1_maybe
HM75BUMX,maybe,high,Operationalizable human+AI commit defect labeling mechanism validated across 9 OSS projects with order-of-magnitude cost reduction over manual labeling.,promoted_from_phase1_maybe
ZT7AM3S2,maybe,high,"Operationalizable active-learning API misuse detection framework using limited human supervision to escape frequency-as-correctness assumptions, validated on MUBench and real-world projects.",promoted_from_phase1_maybe
2JRQ5XVM,maybe,medium,"CoReEval benchmark enables systematic evaluation of LLM code readability assessment aligned to human judgments across 1.4M evaluations — applicable to calibrating LLM reviewers in CI/CD pipelines, though readability focus is narrower than full code quality governance.",promoted_from_phase1_maybe
UHN4W46R,maybe,medium,Pre-registered experiments show second opinions reduce AI over-reliance while active solicitation avoids induced under-reliance — mechanism transfers directly to code review oversight design and reviewer calibration.,promoted_from_phase1_maybe
S4GS4LD7,maybe,high,Comprehensive validation framework with 15 failure-detection tools and root-cause analysis modules for LLM-based agentic systems — directly operationalizable quality assurance mechanism for software engineering teams deploying production AI agents.,promoted_from_phase1_maybe
