item_key,decision,confidence,rationale,title,abstract,year,authors,item_type,human_decision
S4GS4LD7,maybe,high,Comprehensive validation framework with 15 failure-detection tools and root-cause analysis modules for LLM-based agentic systems — directly operationalizable quality assurance mechanism for software engineering teams deploying production AI agents.,AgentFixer: from failure detection to fix recommendations in agentic systems,"We introduce a comprehensive validation framework for LLM-based agentic systems that provides systematic diagnosis and improvement of reliability failures. The framework includes fifteen failure-detection tools and two root-cause analysis modules that jointly uncover weaknesses across input handling, prompt design, and output generation. It integrates lightweight rule-based checks with LLM-as-a-judge assessments to support structured incident detection, classification, and repair. We applied the framework to IBM CUGA, evaluating its performance on the AppWorld and WebArena benchmarks. The analysis revealed recurrent planner misalignments, schema violations, brittle prompt dependencies, and more. Based on these insights, we refined both prompting and coding strategies, maintaining CUGA’s benchmark results while enabling mid-sized models such as Llama 4 and Mistral Medium to achieve notable accuracy gains, substantially narrowing the gap with frontier models. Beyond quantitative validation, we conducted an exploratory study that fed the framework’s diagnostic outputs and agent description into an LLM for self-reflection and prioritization. This interactive analysis produced actionable insights on recurring failure patterns and focus areas for improvement, demonstrating how validation itself can evolve into an agentic, dialogue-driven process. These results show a path toward scalable, quality assurance, and adaptive validation in production agentic systems, offering a foundation for more robust, interpretable, and self-improving agentic architectures.",May ,Mulian; Zeltyn; Levy; Galanti; Yaeli,conferencePaper,maybe
Z76WEF74,maybe,medium,"ANN-ISM framework with 5-level maturity model empirically identifies 15 software coding risk categories and 158 AI-driven mitigation practices, directly operationalizable for SE organizations managing cybersecurity across coding maturity stages.",AI-driven cybersecurity framework for software development based on the ANN-ISM paradigm,"With the increasing reliance on software applications, cybersecurity threats have become a critical concern for developers and organizations. The answer to this vulnerability is AI systems, which help us adapt a little better, as traditional measures in security have failed to respond to the upcoming threats. This paper presents an innovative cybersecurity framework using AI, by the Artificial Neural Network (ANN)—Interpretive Structural Modeling (ISM) model, to improve threat detection, vulnerability assessment, and risk response during software development. This framework helps realize dynamic, intelligent security as a part of the Software Development life cycle (SDLC). Initially, existing cybersecurity risks in software coding are systematically evaluated to identify potential gaps and integrate best practices into the proposed model. In the second phase, an empirical survey was conducted to identify and validate the findings of the systematic literature review (SLR). In the third phase, a hybrid approach is employed, integrating ANN for real-time threat detection and risk assessment. It utilizes ISM to analyze the relationships between cybersecurity risks and vulnerabilities, creating a structured framework for understanding interdependencies. A case study was conducted in the last stage to test and evaluate the AI-driven cybersecurity Mitigation Model for Secure Software Coding. A multi-level categorization system is also used to assess maturity across five key levels: Ad hoc, Planned, Standardized, Metrics-Driven, and Continuous Improvements. This study identifies 15 cybersecurity risks and vulnerabilities in software coding, along with 158 AI-driven best practices for mitigating these risks. It also identifies critical areas of insecure coding practices and develops a scalable model to address cybersecurity risks across different maturity levels. The results show that AI outperforms traditional systems in detecting security weaknesses and simultaneously fixing problems. During Levels 1–3 of the system improvement process, advanced security methods are used to protect against threats. Our analysis reveals that organizations at Levels 4 and 5 still need to entirely shift to using AI-based protection tools and techniques. The proposed system provides developers and managers with valuable insights, enabling them to select security enhancements tailored to their organization's development stages. It supports automated threat analysis, helping organizations stay vigilant against potential cybersecurity threats. The study introduces a novel ANN-ISM framework integrating AI tools with cybersecurity modeling formalisms. By merging AI systems with secure software coding principles, this research enhances the connection between AI-generated insights and real-world cybersecurity usage. © The Author(s) 2025.",2025,Khan; Khan; Alwageed; Almagrabi; Ayouni,journalArticle,
7PA6MQ84,maybe,medium,HITL governance workflow with staged auditable checkpoints for LLM-assisted SQL code migration — operationalizable pipeline architecture for governing AI-generated code with controlled human review gates,A generative AI framework for semi-automated oracle SQL to BigQuery SQL code migration using LLM driven DAGs and iterative refinement,"Translating Oracle PL/SQL into BigQuery SQL (BQ-SQL) is a persistent obstacle in data-platform migration. We present a semi-automated, human-in-the-loop workflow that orchestrates large language models (LLMs) through a sequence of parameterized Directed Acyclic Graphs (DAGs) on Google Cloud Composer. The pipeline comprises five stages: (i) semantic description of PL/SQL, (ii) package parsing into dependency-aware CTEs, (iii) core translation to BQ-SQL, (iv) discrepancy detection, and (v) targeted refinement. Each stage emits an artifact to cloud storage that users may review or edit before triggering the next stage, providing auditable check-points for expert control. In our implementation, analysis tasks (description and diffs) run in few-shot mode with Gemini 1.5 Pro or Gemini 2.5 Pro, while code-emission stages (CTE generation, conversion, refinement) use Gemini 1.0 Pro (supervised fine-tuning); Gemini 1.5 Flash (SFT) is an alternative when lower latency is preferred. Evaluation on quarterly batches (N=100) with execution-free metrics shows consistent gains across three refinement loops (t = 0...3); most units satisfy a practical stop rule (no High discrepancies; DSB ≥ 0.70, MCov ≥ 0.75, EDA ≤ 0.12, CQI-3 ≥ 0.80). The framework operates as an assistive tool rather than a push-button translator, making large-scale PL/SQL-to-BQ-SQL migration more predictable under typical enterprise constraints.  © 2025 IEEE.",2025,Tayde; Mishra; Agarwal,conferencePaper,maybe
7Z7TRTVA,maybe,medium,"Two large empirical studies (N=648 combined) quantifying automation bias mechanisms including task complexity, competence, and reliability moderators in corporate AI settings — psychological mechanisms directly transfer to developer over-reliance on AI code review despite the social robot context","See No evil, hear No evil: how users overrely on robots with automation bias","Recent developments in generative artificial intelligence show how quickly users carelessly adhere to intelligent systems, ignoring systems' vulnerabilities and focusing on their superior capabilities. This is detrimental when system failures are ignored. This paper investigates this mindless overreliance on systems, defined as automation bias (AB), in human-robot interaction. We conducted two experimental studies (N1 = 210, N2 = 438) with social robots in a corporate setting to investigate psychological mechanisms and influencing factors of AB. Particularly, users experience perceptual and behavioral AB with the robot that is enhanced by robot competence depending on task complexity and is even stronger for emotional than analytical tasks. Surprisingly, robot reliability negatively affected AB. We also found a negative indirect-only mediation of AB on robot satisfaction. Finally, we provide implications for the appropriate use of robots to prevent employees from using them as a self-sufficient system instead of a supporting system. © 2023 International Conference on Information Systems, ICIS 2023: ""Rising like a Phoenix: Emerging from the Pandemic and Reshaping Hu. All Rights Reserved.",2023,Stock-Homburg; Nguyen,conferencePaper,maybe
2NRBEMVD,maybe,high,"Research roadmap for human-in-the-loop fuzz testing with specific mechanisms (human monitoring, steering, LLM collaboration) directly applicable to software security testing governance",Human in the loop for fuzz testing: literature review and the road ahead,"Fuzz testing is one of the most effective techniques for detecting bugs and vulnerabilities in software. However, as the basis of fuzz testing, automated heuristics often fail to uncover deep or complex vulnerabilities. As a result, the performance of fuzz testing remains limited. One promising way to address this limitation is to integrate human expert guidance into the paradigm of fuzz testing. Even though some works have been proposed in this direction, there is still a lack of a systematic research roadmap for combining Human-in-the-Loop (HITL) and fuzz testing, hindering the potential for further enhancing fuzzing effectiveness. To bridge this gap, this paper outlines a forward-looking research roadmap for HITL for fuzz testing. Specifically, we highlight the promise of visualization techniques for interpretable fuzzing processes, as well as on-the-fly interventions that enable experts to guide fuzzing toward hard-to-reach program behaviors. Moreover, the rise of Large Language Models (LLMs) introduces new opportunities and challenges, raising questions about how humans can efficiently provide actionable knowledge, how expert meta-knowledge can be leveraged, and what roles humans should play in the intelligent fuzzing loop with LLMs. To address these questions, we survey existing work on HITL fuzz testing and propose a research agenda emphasizing future opportunities in (1) human monitoring, (2) human steering, and (3) human-LLM collaboration. We call for a paradigm shift toward interactive, human-guided fuzzing systems that integrate expert insight with AI-powered automation in the next-generation fuzzing ecosystem.",2026,Yu; Wen; Cheng; Xie; Hu,preprint,maybe
YKLEPERJ,maybe,high,Empirical study of 567 agentic coding PRs showing 83.8% acceptance and quantifying human revision needs by task type — directly operationalizable for calibrating oversight of AI-generated code at scale.,On the use of agentic coding: an empirical study of pull requests on GitHub,"Large language models (LLMs) are increasingly being integrated into software development processes. The ability to generate code and submit pull requests with minimal human intervention, through the use of autonomous AI agents, is poised to become a standard practice. However, little is known about the practical usefulness of these pull requests and the extent to which their contributions are accepted in real-world projects.In this paper, we empirically study 567 GitHub pull requests (PRs) generated using Claude Code, an agentic coding tool, across 157 diverse open-source projects. Our analysis reveals that developers tend to rely on agents for tasks such as refactoring, documentation, and testing. The results indicate that 83.8% of these agent-assisted PRs are eventually accepted and merged by project maintainers, with 54.9% of the merged PRs being integrated without further modification. The remaining 45.1% require additional changes and benefit from human revisions, especially for bug fixes, documentation, and adherence to project-specific standards. These findings suggest that while agent-assisted PRs are largely acceptable, they still benefit from human oversight and refinement.",Marc,Watanabe; Li; Kashiwa; Reid; Iida,journalArticle,maybe
BRRHUZV7,maybe,high,"Empirical benchmarking of five LLMs on code refactoring across 30 Java projects with unit test and code smell metrics identifies where human oversight outperforms LLMs, directly operationalizable for AI-assisted code quality governance.",An empirical study on the code refactoring capability of large language models,"Large Language Models (LLMs) aim to generate and understand human-like text by leveraging deep learning and natural language processing techniques. In software development, LLMs can enhance the coding experience through coding automation, reducing development time and improving code quality. Code refactoring is a technique used to enhance the internal quality of the code base without altering its external functionalities. Leveraging LLMs for code refactoring can help developers improve code quality with minimal effort. This paper presents an empirical study evaluating the quality of refactored code produced by StarCoder2, GPT-4o-mini, GPT-4o, LLaMA 3, and DeepSeek-v3. Specifically, we (1) evaluate whether the code refactored by the LLMs can improve code quality, (2) understand the differences between the types of refactoring applied by the different LLMs and compare their effectiveness, and (3) evaluate whether the quality of the refactored code generated by the LLM can be improved through one-shot prompting and chain-of-thought prompting. We analyze the refactoring capabilities of LLMs on 30 open-source Java projects. We evaluate StarCoder2, LLaMA 3, GPT-4o-mini, GPT-4o, and DeepSeek-v3 on their ability to improve static code quality metrics, pass unit tests, and reduce code smells. Our findings reveal that production-grade models such as GPT-4o and DeepSeek-v3 achieve pass@5 unit test success rates above 90% on multi-file refactorings. LLaMA 3 achieves the highest overall code smell reduction with a median reduction of 15.1%, while DeepSeek-v3 and GPT-4o achieve the greatest improvements in cohesion, coupling, and complexity. StarCoder2 demonstrates strengths in modularity improvements and systematic refactorings. Developers outperform LLMs in complex, context-sensitive refactorings such as attribute encapsulation. We also show that prompt engineering significantly affects LLM performance: chain-of-thought prompting improves StarCoder2's test pass rate by 1.7% and increases code smell reduction compared to zero-shot prompting. One-shot prompting also expands the variety of refactorings LLMs can perform. These results suggest that LLMs are effective for many refactoring tasks, especially when guided with tailored prompts, but benefit from integration with human expertise for architectural or semantically complex changes. By providing insights into the capabilities and best practices for integrating LLMs into the software development process, our study aims to enhance the effectiveness and efficiency of code refactoring in real-world applications.",Marc,Cordeiro; Noei; Zou,journalArticle,
PQX7QNCB,maybe,high,Empirical benchmark quantifies LLM agent failures in microservice code generation (best Pass@1 = 23.67%) with deficiency analysis of architectural coherence and cross-file consistency — reproducible quality metrics directly operationalizable for AI code governance.,RepoGenesis: benchmarking end-to-end microservice generation from readme to repository,"Large language models and agents have achieved remarkable progress in code generation. However, existing benchmarks focus on isolated function/class-level generation (e.g., ClassEval) or modifications to existing codebases (e.g., SWE-Bench), neglecting complete microservice repository generation that reflects real-world 0-to-1 development workflows. To bridge this gap, we introduce RepoGenesis, the first multilingual benchmark for repository-level end-to-end web microservice generation, comprising 106 repositories (60 Python, 46 Java) across 18 domains and 11 frameworks, with 1,258 API endpoints and 2,335 test cases verified through a ""review-rebuttal"" quality assurance process. We evaluate open-source agents (e.g., DeepCode) and commercial IDEs (e.g., Cursor) using Pass@1, API Coverage (AC), and Deployment Success Rate (DSR). Results reveal that despite high AC (up to 73.91%) and DSR (up to 100%), the best-performing system achieves only 23.67% Pass@1 on Python and 21.45% on Java, exposing deficiencies in architectural coherence, dependency management, and cross-file consistency. Notably, GenesisAgent-8B, fine-tuned on RepoGenesis (train), achieves performance comparable to GPT-5 mini, demonstrating the quality of RepoGenesis for advancing microservice generation. We release our benchmark at https://github.com/pzy2000/RepoGenesis.",2026,Peng; Yin; Zhao; Yang; Wang,preprint,maybe
6VTG8NX7,maybe,medium,"Enterprise Anchors operating model explicitly addresses LLMOps, guardrail engineering, and HITL mechanisms for the agentic era — framework components directly applicable to software engineering organizations deploying AI coding agents.",Enterprise anchors: the augmented intelligence operating model a framework and reference architecture for the agentic era,"The transition from predictive Machine Learning to Generative AI and Agentic Systems represents a fundamental rupture in the history of enterprise software / Enterprise Anchors™ is an Augmented Intelligence Operating Model designed to bridge this ""Probability Gap."" / Enterprise Anchors™ is an Augmented Intelligence Operating Model designed to bridge this ""Probability Gap."" / Augmented Intelligence, Agentic AI, Anchored AI Agents, AI Governance, LLMOps, Guardrail Engineering, Zero Trust, Context-Based Mesh, Human-in-the-Loop / , Responsible AI, AI Risk Management",2026,Venkata Rajgopal Tadinada,journalArticle,maybe
NNXYGMWF,maybe,medium,Multi-agent adversarial framework with counterfactual verification for AI code generation provides operationalizable cognitive bias detection mechanism achieving measurable quality improvements on standard benchmarks,Mitigating cognitive vulnerabilities in code generation via multi-agent adversarial debate,"Although Large Language Models (LLMs) have demonstrated significant proficiency in code generation, their monolithic and correlation-driven nature renders them susceptible to systematic cognitive biases, deficient counterfactual reasoning, and adversarial manipulation—a characteristic we term cognitive vulnerability. Such vulnerabilities compromise the reliability and security of AI-assisted software development, potentially resulting in code that is not only functionally incorrect but also biased, insecure, and difficult to validate using conventional testing paradigms. While recent multi-agent systems enhance workflow efficiency via task decomposition, they do not fundamentally address these reasoning deficits. This highlights the need for a framework capable of proactively identifying and mitigating the cognitive flaws of an LLM during the reasoning process. To address this challenge, we introduce CodeForge, a multi-agent adversarial reasoning framework that reframes code generation as a cognitive crucible. This process involves a structured debate among three specialized agents—an Optimist, a Pragmatist, and an Adversarial Skeptic—who iteratively cross-examine and refine solution plans. Following convergence, an adversarial verification module systematically generates counterfactual perturbations to stress-test and enhance the final plan. Comprehensive evaluations on the HumanEval and MBPP benchmarks demonstrate that CodeForge significantly outperforms state-of-the-art methods, achieving a pass@1 of 97.3% with GPT-4. Ablation studies confirm the necessity of both the adversarial dialogue and counterfactual verification components. This work represents a shift from passive debugging to proactive cognitive hardening, establishing a pathway toward more trustworthy automated software engineering.",Apri,Liu; Guo; Liu; Liu,conferencePaper,maybe
E2CG6J2D,maybe,medium,Human review capacity allocation framework for AI-augmented enforcement where review capacity is a binding constraint transfers structurally to code review triage when AI-generated volume exceeds human throughput.,Adaptive enforcement with AI-augmented monitoring,"Moreover, congestion becomes particularly salient when AI-flagged violations require human review and regulatory review capacity is binding. / Enforcement effectiveness therefore depends not only on expanding detection, but also on allocating scarce human review resources efficiently.",2026,Ginger Zhe Jin; D. Daniel Sokol; Liad Wagman,journalArticle,keep
PD2YN98L,maybe,medium,Controlled experiment quantifies automation bias when accepting AI vs. human security recommendations by expertise level — operationalizes trust calibration signal for AI-assisted security decisions.,Algorithm perception when using threat intelligence in vulnerability risk assessment,"Recent government and commercial initiatives have pushed for the use of the automated, artificial intelligence (AI)–based, analysis of cyber threat intelligence. The potential bias that might be present when evaluating threat intelligence coming from human and AI sources has to be better understood before deploying automated solutions to production. We present a controlled experiment with (Formula presented.) master students who had a mix of experience in security and machine learning to measure the bias introduced by the source of intelligence (human vs. AI). Each participant analyzed eight threat intelligence reports from the Dutch National Cyber Security Center where the source of the final recommendation was manipulated as for coming from a human expert or an AI algorithm. Our findings revealed that participants tended to disagree with the recommendation when it was coming from AI. While expertise on ML did not have any impact, we found that participants with more security expertise tended to agree with the recommendation. In contrast, we found that the perceives bias was statistically equivalent (TOST) whether the recommendation was coming from a human or from an AI. The only (expected) factor which had an impact on perceived bias was when participants disagreed with the recommendation (irrespective whether it was human or AI). These results provide insight on the possible impact of introduction on AI on rank-and-file Tier 1 SOC analysts. The generalization of our results to professional practice requires more experiments with experienced security professionals. © 2026 The Author(s). Risk Analysis published by Wiley Periodicals LLC on behalf of Society for Risk Analysis.",2026,van Gerwen; Papotti; Tuma; Massacci,journalArticle,discard
6WUJUVEI,maybe,high,Empirical study of 567 agentic coding PRs showing 83.8% acceptance and quantifying human revision needs by task type — directly operationalizable for calibrating oversight of AI-generated code at scale.,On the use of agentic coding: an empirical study of pull requests on GitHub,"Large language models (LLMs) are increasingly being integrated into software development processes. The ability to generate code and submit pull requests with minimal human intervention, through the use of autonomous AI agents, is poised to become a standard practice. However, little is known about the practical usefulness of these pull requests and the extent to which their contributions are accepted in real-world projects.In this paper, we empirically study 567 GitHub pull requests (PRs) generated using Claude Code, an agentic coding tool, across 157 diverse open-source projects. Our analysis reveals that developers tend to rely on agents for tasks such as refactoring, documentation, and testing. The results indicate that 83.8% of these agent-assisted PRs are eventually accepted and merged by project maintainers, with 54.9% of the merged PRs being integrated without further modification. The remaining 45.1% require additional changes and benefit from human revisions, especially for bug fixes, documentation, and adherence to project-specific standards. These findings suggest that while agent-assisted PRs are largely acceptable, they still benefit from human oversight and refinement.",Marc,Watanabe; Li; Kashiwa; Reid; Iida,journalArticle,maybe
RBKE3GQE,maybe,medium,Proposes a dual-validation framework with human-in-the-loop assessment for LLM-generated software models across quality dimensions — directly applicable to AI code artifact quality assurance workflows.,Class model generation from requirements using large language models,"The emergence of Large Language Models (LLMs) has opened new opportunities to automate software engineering activities that traditionally require substantial manual effort. Among these, class diagram generation represents a critical yet resource-intensive phase in software design. This paper investigates the capabilities of state-of-the-art LLMs, including GPT-5, Claude Sonnet 4.0, Gemini 2.5 Flash Thinking, and Llama-3.1-8B-Instruct, to generate UML class diagrams from natural language requirements automatically. To evaluate the effectiveness and reliability of LLM-based model generation, we propose a comprehensive dual-validation framework that integrates an LLM-as-a-Judge methodology with human-in-the-loop assessment. Using eight heterogeneous datasets, we apply chain-of-thought prompting to extract domain entities, attributes, and associations, generating corresponding PlantUML representations. The resulting models are evaluated across five quality dimensions: completeness, correctness, conformance to standards, comprehensibility, and terminological alignment. Two independent LLM judges (Grok and Mistral) perform structured pairwise comparisons, and their judgments are further validated against expert evaluations. Our results demonstrate that LLMs can generate structurally coherent and semantically meaningful UML diagrams, achieving substantial alignment with human evaluators. The consistency observed between LLM-based and human-based assessments highlights the potential of LLMs not only as modeling assistants but also as reliable evaluators in automated requirements engineering workflows, offering practical insights into the capabilities and limitations of LLM-driven UML class diagram automation.",2026,Nguyen; Koe; Wang; Arora; Ferrari,preprint,discard
UD5ENVQN,maybe,medium,"Directly addresses vibe coding as a risk and proposes a code-first workflow framework as an operationalizable alternative, keeping humans in control of agentic workflow structure.","Don't vibe code, do skele-code: interactive No-code notebooks for subject matter experts to build lower-cost agentic workflows","Skele-Code is a natural-language and graph-based interface for building workflows with AI agents, designed especially for less or non-technical users. It supports incremental, interactive notebook-style development, and each step is converted to code with a required set of functions and behavior to enable incremental building of workflows. Agents are invoked only for code generation and error recovery, not orchestration or task execution. This agent-supported, but code-first approach to workflows, along with the context-engineering used in Skele-Code, can help reduce token costs compared to the multi-agent system approach to executing workflows. Skele-Code produces modular, easily extensible, and shareable workflows. The generated workflows can also be used as skills by agents, or as steps in other workflows.",2026,Gopalakrishnan,preprint,discard
ZKPDVADF,maybe,medium,"Open-source developer command center with AI-readiness scoring algorithm, historical review intelligence pipeline, and agent observability layer provides directly actionable tooling for governing AI-augmented code review workflows",Workstream: a local-first developer command center for the AI-augmented engineering workflow,"Modern software engineers operate across 5-10 disconnected tools daily: GitHub, GitLab, Jira, Slack, calendar applications, CI dashboards, AI coding assistants, and container platforms. This fragmentation creates cognitive overhead that interrupts deep work and delays response to critical engineering signals. We present Workstream, an open-source, local-first developer command center that aggregates pull requests, task management, calendar, AI-powered code review, historical review intelligence, repository AI-readiness scoring, and agent observability into a single interface. We describe the system architecture, a novel 5-category AI readiness scoring algorithm, a review intelligence pipeline that mines historical PR reviews for team-specific patterns, and an agent observability layer implementing the Model Context Protocol (MCP), Agent-to-Agent (A2A), and Agent Observability Protocol (AOP). Through a case study of applying the tool to its own development, we demonstrate measurable improvements in AI-readiness scores (48 to 98 on our internal scanner; 41.6 to 73.7 on the independent agentready CLI). Workstream is released as open source under the Apache 2.0 license at https://github.com/happybhati/workstream.",2026,Bhati,preprint,maybe