seq,item_key,title,authors,year,item_type,abstract,bin,centrality,reason_code,rationale
23,CAXNTRJF,Machine learning solutions to automated governance and code analysis to compliance,A. A. Paul; H. T.V; U. Maheswari,2025,conferencePaper,"The GRC Analyser is a new AI product aimed at closing the software development and the Governance, Risk, and compliance (GRC) standards (ISO 27001, GDPR and SOC 2) gap. In contemporary organizations, programmers tend to develop software without profound knowledge of these complicated regulatory and security provisions, and potentially vulnerable and compliant problems may occur. The suggested system takes advantage of the concept of the Machine Learning (ML) models trained with the use of the secure code directions and industry standards and helps to examine uploaded code modules automatically. It determines the vulnerabilities like poor data management, lack of proper input validation and lack of encryption tools, which are among the main causes of security threats. The GRC Analyser provides clear and practical advice to developers when the flaws are identified through recommendations after identifying potential risks. This does not only enhance the security of the code but also makes sure that it is matched to compliance requirements at their initial development phases. The tool will enable organizations to minimize the human error, cost of auditing, and regulatory readiness by incorporating AI-based security auditing within the software lifecycle. Finally, it is observed that the GRC Analyser encourages the creation of resilient, secure, and legal applications and empowers developers to make a proactive stance on governance and cybersecurity.",context,40,,About making engineers more aware of compliance concerns.
24,C2K75UGE,The vicious circles of skill erosion: a case study of cognitive automation,Rinta-Kahila; Penttinen; Salovaara et al.,2023,journalArticle,"Cognitive automation powered by advanced intelligent technologies is increasingly enabling organizations to automate more of their knowledge work tasks. Although this often offers higher efficiency and lower costs, cognitive automation exacerbates the erosion of human skill and expertise in automated tasks. Accepting the erosion of obsolete skills is necessary to reap the benefits of technology—however, the erosion of essential human expertise is problematic if workers remain accountable for tasks for which they lack sufficient understanding, rendering them incapable of responding if the automation fails. Though the phenomenon is widely acknowledged, the dynamics behind such undesired skill erosion are poorly understood. Thus, taking the perspective of sociotechnical systems, we conducted a case study of an accounting firm that had experienced skill erosion over a number of years due to reliance on their software’s automated functions. We synthesized our findings using causal loop modeling based on system dynamics. The resulting dynamic model explains skill erosion via an interplay between humans’ automation reliance, complacency, and mindful conduction. It shows how increasing reliance on automation fosters complacency at both individual and organizational levels, weakening workers’ mindfulness across three work task facets (activity awareness, competence maintenance, and output assessment), resulting in skill erosion. Such skill erosion may remain obscure, acknowledged by neither workers nor managers. We conclude by discussing the implications for theory and practice and identifying directions for future research. © 2023, Association for Information Systems. All rights reserved.",context,60,,Addresses skill erosion in related area.
25,TLJPGLK9,AI CHAOS! 2nd workshop on the challenges for human oversight of AI systems,Khadar; Cecil; Van Der Neut et al.,2026,conferencePaper,"As AI systems are increasingly adopted in high-stakes domains such as healthcare, autonomous driving, and criminal justice, their failures may threaten human safety and rights. Human oversight of AI systems is therefore critically important as a potential safeguard to prevent harmful consequences in high-risk AI applications. The global regulatory and policy landscape for AI governance remains understandably fragmented and diverse. While frameworks like the European AI Act require human oversight for high-risk AI systems, there is currently a lack of well-defined methodologies and conceptual clarity to operationalize such oversight effectively. Independent of policy and regulation, poorly designed oversight can create dangerous illusions of safety while obscuring accountability. This interdisciplinary workshop aims to bring together researchers from various disciplines, including AI, HCI, psychology, law, and policy, to address this critical gap. We will explore the following questions: (1) What are the greatest challenges to achieving effective human oversight of AI systems? (2) How can we design AI systems that enable meaningful human oversight? (3) How do we assign responsibilities to and support the various stakeholders involved in oversight? Through talks and interactive group discussions, participants will identify oversight challenges; examine stakeholder roles; discuss supporting tools, methods, and regulatory frameworks; and establish a collaborative research agenda. Our central goal is to further a roadmap that enables effective human oversight for the responsible deployment of AI in society.",core,80,,"Define and understand how human oversight operates, including when needed."
26,76DYS6RI,Model-assisted and human-guided: perceptions and practices of software professionals using LLMs for coding,I. Santos; C. Magalhaes; R. De Souza Santos,2025,conferencePaper,"Large Language Models (LLMs) have quickly become a central component of modern software development workflows, and software practitioners are increasingly integrating LLMs into various stages of the software development lifecycle. Despite the growing presence of LLMs, there is still limited understanding of how these tools are actually used in practice and how professionals perceive their benefits and limitations. This paper presents preliminary findings from a global survey of 131 software practitioners. Our results reveal how LLMs are utilized for various coding-specific tasks. Software professionals report benefits such as increased productivity, reduced cognitive load, and faster learning, but also raise concerns about LLMs' inaccurate outputs, limited context awareness, and associated ethical risks. Most developers treat LLMs as assistive tools rather than standalone solutions, reflecting a cautious yet practical approach to their integration. Our findings provide an early, practitioner-focused perspective on LLM adoption, highlighting key considerations for future research and responsible use in software engineering.",discard,20,wrong-level,Generic LLM in software study. No oversight focus.
27,7GE63LDE,Repairing infrastructure-as-code using large language models,Low; Cheh; Chen,2024,conferencePaper,"Infrastructure-as-Code (IaC) is the practice of provisioning and managing cloud resources using machine-readable code. IaC is seeing increased adoption because it enhances transparency and reliability of infrastructure operations. However, as any software code, IaC can also contain misconfigurations, which can lead to insecure infrastructure, which may result in data breaches. Existing IaC scanning tools are able to detect common misconfigurations in IaC but they require IaC developers to manually repair the code. Recent advances in Large Language Models (LLMs) have led to promising results in applying LLMs to Automatic Program Repair (APR) tasks for code written in different languages. In this work, we propose an LLM-based approach to fix misconfigurations in IaC code. After misconfigurations in IaC code are identified by scanning tools, we feed the LLMs with the IaC code, details about the misconfigurations, and additional context provided by a human-in-the-loop and prompt the LLM to generate the repaired IaC code. We tested our approach on several vulnerable IaC repositories and found that the GPT-4 model from OpenAI suggests fixes that reduce up to 84.7% of the misconfiguration alarms produced by the scanners and our two-pass solution significantly improves the performance over a one-pass only approach. However, of the fixes suggested, we manually determined that only 79.6% actually solve the problem, while the remaining 20.4% are hallucinated fixes. Specifically, LLM hallucinations in the generated outputs pass checks for misconfigurations but fail other syntax and schema validation checks or do not address the underlying security issue. We propose a few potential approaches to tackle this challenge.  © 2024 IEEE.",context,50,,Focus on infrastructure as code and human guidance
28,PMPV54J9,From tools to teammates: a framework for integrating AI agents into organizational structures,Mikhail Karpov,2026,journalArticle,"Customer‑facing scenarios introduce distinct challenges around trust, brand voice, and liability compared to internal use cases. / AI agents, organizational structure, human-AI collaboration, agentic AI, hybrid teams, team dynamics, workforce transformation",discard,20,quality-threshold-not-met,Abstract truncated. Not strongly related.
29,35GIS9BQ,Design patterns for machine learning-based systems with humans in the loop,Andersen; Maalej,2024,journalArticle,Human involvement in machine learning (ML) is a promising paradigm to overcome the limitations of purely automated predictions and improve the applicability of ML. We compile a catalog of design patterns to guide developers to select and implement human-in-the-loop solutions. OOP PATTERNS,context,60,,Unrelated.
30,GFCB367T,"AI - integrated DevSecOps for scalable, secure, and modern cloud architectures",R. K. Mahimalur; V. G. Kolla; C. D. Tank et al.,2026,conferencePaper,"Software delivery pipelines now need to be more secure, scalable, and robust due to the rapid use of cloud-native architectures. Security bottlenecks and lengthy release cycles are caused by traditional DevSecOps frameworks' high false positive rates, vulnerability to slow vulnerability alerts, and lack of automation. In order to solve these problems, this paper offers an AI-Integrated DevSecOps paradigm which integrates automation, intelligence, and continuous compliance into an already-existing CI/CD pipeline. The framework was developed through a design science research approach by combining reference architecture design, policy-as-code enforcement, artificial intelligence (AI) model integration and a controlled experiment. Fine-tuning of large language models for secure code review, risk-based vulnerability prioritisation based on machine learning, and a time-series anomaly detection model to track runtime telemetry were developed. Red team simulations and a production-scale cloud testbed with seeded controlled vulnerabilities were utilized to assess the system. With a mean time to detect of 4.5 minutes, a mean time to remediate of 12 minutes, a false positive rate of 3.2, and an F1-score of 97.5—much better than five state-of-the-art methods—the quantitative results are also encouraging. The findings demonstrate that the AI Integrated DevSecOps can provide software releases that are safe, quick, and dependable, which will aid in bridging the gap between security assurance and delivery agility after the tasks are carried out.",context,50,,Productivity by integrating AI into DevOps
31,L65X78ML,Reflections on the data protection compliance of AI systems under the EU AI act,Hohmann; Kollár,2025,journalArticle,"The European Union’s Artificial Intelligence Act (AI Act) establishes a novel regulatory framework for AI systems, with far-reaching implications for data protection compliance. This study critically analyses the regulatory environment created by the Act and its interaction with the General Data Protection Regulation (GDPR), addressing whether it provides clearer compliance pathways or introduces additional burdens for developers. Using comparative legal analysis, the research finds that the AI Act supplements the GDPR through a risk-based approach that subjects high-risk AI systems to specific obligations. Key concerns include algorithmic opacity, bias, and legal uncertainty in profiling and automated decision-making. The analysis shows that the AI Act attempts to mitigate these risks by strengthening requirements on risk assessment, human oversight, and data governance. While the Act broadly aligns with GDPR principles such as transparency, fairness, and accountability, it also introduces new procedural and documentation duties that may increase compliance complexity. Overall, the study concludes that the AI Act constitutes a complementary yet stricter regulatory layer for AI-driven data processing, balancing innovation with fundamental rights protection and requiring joint interpretation with the GDPR to ensure coherent application. © 2025 University of Pécs. Published by Informa UK Limited, trading as Taylor & Francis Group.",context,40,,Goverance focus
32,MHK56HCY,Agentic AI as assurance infrastructure: design principles for a continuous second line,Roni van der Fehr,2026,journalArticle,"The first paper in this series established that episodic gateway review is constitutively mismatched to the risk dynamics of complex adaptive / systems, and that continuous assurance represents structural reform of oversight practice rather than a marginal efficiency gain. / agentic AI, multi-agent systems, governance primitive, continuous assurance, second line of defence, evidence-first design, human accountability, responsible / AI, design principles, AI governance",context,40,,Not related to coding / human oversight
33,DQM82F3L,Research vision for Co-designing responsible AI,Daniele Quercia,2026,journalArticle,"Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / Responsible AI principles are everywhere, but implementation is stuck between box-ticking compliance / AI Act–aligned risks, and NLP Guard to reduce harmful reliance on protected attributes after launch.",discard,10,out-of-scope,Abstract mangled. No clear relevance
34,M74M3RFJ,Developing assurance cases for adversarial robustness and regulatory compliance in LLMs,T. B. Momcilovic; D. Balta; B. Buesser et al.,2024,conferencePaper,"This paper presents an approach to developing assurance cases for adversarial robustness and regulatory compliance in large language models (LLMs). Focusing on both natural and code language tasks, we explore the vulnerabilities these models face, including adversarial attacks based on jailbreaking, heuristics, and randomization. We propose a layered framework incorporating guardrails at various stages of LLM deployment, aimed at mitigating these attacks and ensuring compliance with the EU AI Act. Our approach includes a meta-layer for dynamic risk management and reasoning, crucial for addressing the evolving nature of LLM vulnerabilities. We illustrate our method with two exemplary assurance cases, highlighting how different contexts demand tailored strategies to ensure robust and compliant AI systems.",core,80,,"Not directly coding, but discussion of risk assessment and human oversight"
35,6UQMFSB8,Contract-coding: towards repo-level generation via structured symbolic paradigm,Lin; Zhao; Shi,2026,preprint,"The shift toward intent-driven software engineering (often termed ""Vibe Coding"") exposes a critical Context-Fidelity Trade-off: vague user intents overwhelm linear reasoning chains, leading to architectural collapse in complex repo-level generation. We propose Contract-Coding, a structured symbolic paradigm that bridges unstructured intent and executable code via Autonomous Symbolic Grounding. By projecting ambiguous intents into a formal Language Contract, our framework serves as a Single Source of Truth (SSOT) that enforces topological independence, effectively isolating inter-module implementation details, decreasing topological execution depth and unlocking Architectural Parallelism. Empirically, while state-of-the-art agents suffer from different hallucinations on the Greenfield-5 benchmark, Contract-Coding achieves 47\% functional success while maintaining near-perfect structural integrity. Our work marks a critical step towards repository-scale autonomous engineering: transitioning from strict ""specification-following"" to robust, intent-driven architecture synthesis. Our code is available at https://github.com/imliinyi/Contract-Coding.",context,40,,Focus on improving vibe coding quality.
36,WEWQ9NTT,Verified adversarial reasoning intelligence (VARI): multi-agent adversarial verification for regulated AI decision-making,Eric Swidey,2026,journalArticle,"We previously demonstrated VARI as a reference architecture for EU AI Act Article 14 compliance in employment AI (Swidey, 2025). / The regulatory trajectory, including Article 14 of the EU AI Act, the Colorado AI Act (effective June 30, 2026), and the NAIC Model Bulletin, demands both / AI Governance, Adversarial Verification, Multi-Agent Systems, Legal AI, Insurance AI, Hallucination Detection, Algorithmic Discrimination, Per-Decision / Verification, EU AI Act Article 14",discard,10,out-of-scope,Not related.
37,PMSYQJQQ,"Towards just-In-time, inclusive clone refactoring",P. Roy,2025,conferencePaper,"Code clones are a well-known source of technical debt, often degrading software maintainability. Modern AI coding assistants can unintentionally introduce clones or even licenseincompatible code, posing maintenance and legal challenges. This research proposes a Large Language Model (LLM)-powered clone refactoring assistant that proactively detects duplicative code during development and suggests high-level refactorings. By bridging traditional clone detection with LLM-driven code generation or transformation, the approach aims to remove redundancies early while ensuring changes remain behavior preserving and legally compliant. The assistant will integrate into development workflows to prevent clone propagation, flag potential intellectual property risks, and incorporate developer feedback for explainable, trustworthy operation. We will evaluate its impact on code quality and developer productivity, and assess how AI enhancements influence long-term maintenance efforts.",context,40,,May be relevant as a method for identifying use of a risk pattern.
38,ML88MC4H,"A taxonomy of AI governance approaches: distinguishing visibility, alignment, and authorization",Edward Meyman,2026,journalArticle,"The term ""AI governance"" has become semantically overloaded. / The goal is to provide enterprise buyers, regulators, researchers, and auditors a shared vocabulary for evaluating AI governance claims against the requirements / AI governance, deterministic governance, proof-carrying decisions, regulatory compliance, enterprise AI, authorization layer, GRC, AI accountability, algorithmic",discard,10,out-of-scope,Not related.
39,LKCDAMLF,"Legal, policy, and compliance issues in using AI for security: using taiwan's cybersecurity management act and penetration testing as examples",Wang,2024,conferencePaper,"As artificial intelligence (AI) technology advances rapidly, integrating AI into cybersecurity practices poses new challenges for professionals. This paper focuses on the legal and policy implications of employing AI tools in penetration testing (PT). Key issues explored include liability in cases where AI tools cause damage and legal compliance challenges for organizations mandated to conduct PT. This paper argues that in the case of Taiwan, a comprehensive consideration of relevant laws, such as the Code of Civil Procedure, will be needed as AI products and tools become more widespread. The other issue concerns defining qualified PT, using Taiwan's Cybersecurity Management Act as an example. This paper concludes that, in addition to proper AI governance, governments should consider the legal frameworks necessary for the practical application of AI products or systems and develop appropriate AI safety testing methods to offer reference guidelines for public agencies to introduce risk-controllable AI tools, thus preparing for the transition into the AI era. © 2024 NATO CCDCOE.",discard,20,wrong-level,Not related.
40,JKLSQ57B,No skin in the game: why agentic AI requires principal-agent governance,Martin Prause,2026,journalArticle,"The deployment of Agentic AI creates governance challenges that existing frameworks cannot adequately address. / The training pipeline of large language model-based Agentic AI produces these asymmetries: The pretraining process optimizes prediction over truth. / Agentic AI, AI Agents, AI Governance, LLM vulnerability, Principal-Agent Theory",discard,20,quality-threshold-not-met,LLM focus.
41,XXRRYDKZ,"AI will replace functions, not persons: a function-level framework for AI integration in knowledge work",Javier Rayon Encinas,2026,journalArticle,"Developer, and Financial Analyst—and provide technology-agnostic architectural principles for deploying function specific AI agents with appropriate human / oversight. / Artificial Intelligence, Future of Work, Human-AI Collaboration, Task Automation, Knowledge Work, Organizational Design",context,40,,May cover human oversight in other domains.
42,D5RXSP2P,AutoDev: automated AI-driven development,Tufano; Agarwal; Jang et al.,2024,preprint,"The landscape of software development has witnessed a paradigm shift with the advent of AI-powered assistants, exemplified by GitHub Copilot. However, existing solutions are not leveraging all the potential capabilities available in an IDE such as building, testing, executing code, git operations, etc. Therefore, they are constrained by their limited capabilities, primarily focusing on suggesting code snippets and file manipulation within a chat-based interface. To fill this gap, we present AutoDev, a fully automated AI-driven software development framework, designed for autonomous planning and execution of intricate software engineering tasks. AutoDev enables users to define complex software engineering objectives, which are assigned to AutoDev's autonomous AI Agents to achieve. These AI agents can perform diverse operations on a codebase, including file editing, retrieval, build processes, execution, testing, and git operations. They also have access to files, compiler output, build and testing logs, static analysis tools, and more. This enables the AI Agents to execute tasks in a fully automated manner with a comprehensive understanding of the contextual information required. Furthermore, AutoDev establishes a secure development environment by confining all operations within Docker containers. This framework incorporates guardrails to ensure user privacy and file security, allowing users to define specific permitted or restricted commands and operations within AutoDev. In our evaluation, we tested AutoDev on the HumanEval dataset, obtaining promising results with 91.5% and 87.8% of Pass@1 for code generation and test generation respectively, demonstrating its effectiveness in automating software engineering tasks while maintaining a secure and user-controlled development environment.",context,60,,Covers agentic system with adversarial agents.
43,2NRJ4FXR,One developer is all you need: a case study of an AI-augmented one-person squad in a brownfield enterprise,Boas; Pinto; Monteiro et al.,2026,preprint,"AI tools are enabling engineers to absorb roles previously distributed across cross-functional squads, yet there is little structured evidence on how to design or evaluate such a one-person squad in a regulated enterprise setting. Without that evidence, organizations adopting this model lack guidance on which design decisions make it viable and which conditions cause it to break down. We report a case study in which a single staff engineer, supported by four AI agents under a Spec-Driven Development workflow, delivered a brownfield product initiative scoped for a four-person squad in half the planned time, with 90\% acceptance of AI-generated code on first review, full integration test pass rates, and an above-85\% reduction in direct staffing cost. The results indicate that AI does not replace team members it multiplies the throughput of the experienced engineer who remains, making specification quality and institutional knowledge, not model capability, the binding constraints on one-person squad success.",context,40,,productivity study
44,N8HSZ7BC,Licoeval: evaluating LLMs on license compliance in code generation,W. Xu; K. Gao; H. He et al.,2025,conferencePaper,"Recent advances in Large Language Models (LLMs) have revolutionized code generation, leading to widespread adoption of AI coding tools by developers. However, LLMs can generate license-protected code without providing the necessary license information, leading to potential intellectual property violations during software production. This paper addresses the critical, yet underexplored, issue of license compliance in LLM-generated code by establishing a benchmark to evaluate the ability of LLMs to provide accurate license information for their generated code. To establish this benchmark, we conduct an empirical study to identify a reasonable standard for “striking similarity” that excludes the possibility of independent creation, indicating a copy relationship between the LLM output and certain opensource code. Based on this standard, we propose LiCoEval, to evaluate the license compliance capabilities of LLMs, i.e., the ability to provide accurate license or copyright information when they generate code with striking similarity to already existing copyrighted code. Using LiCoEval, we evaluate 14 popular LLMs, finding that even top-performing LLMs produce a non-negligible proportion (0.88 % to 2.01 %) of code strikingly similar to existing open-source implementations. Notably, most LLMs fail to provide accurate license information, particularly for code under copyleft licenses. These findings underscore the urgent need to enhance LLM compliance capabilities in code generation tasks. Our study provides a foundation for future research and development to improve license compliance in AIassisted software development, contributing to both the protection of open-source software copyrights and the mitigation of legal risks for LLM users.",context,60,,Potential scanner to include in pipeline. Doesn't address huamn oversight.
45,CI93QRUH,HiLDE: intentional code generation via human-in-the-loop decoding,E. A. González; R. Rothkopf; S. Lerner et al.,2025,conferencePaper,"While AI programming tools hold the promise of increasing programmers’ capabilities and productivity to a remarkable degree, they often exclude users from essential decisionmaking processes, causing many to effectively “turn off their brains” and over-rely on solutions provided by these systems. These behaviors can have severe consequences in critical domains, like software security. We propose Human-in-the-Loop Decoding, a novel interaction technique that allows users to observe and directly influence LLM decisions during code generation, in order to align the model’s output with their personal requirements. We implement this technique in HiLDE, a code completion assistant that highlights critical decisions made by the LLM and provides local alternatives for the user to explore. In a within-subjects study ($\mathrm{N}=18$) on security-related tasks, we found that HiLDE led participants to generate significantly fewer vulnerabilities and better align code generation with their goals compared to a traditional code completion assistant.",core,80,,A means for highlighting what humans should look at.
46,5IZXVQS6,Biased AI improves human decision-making but reduces trust,Lai; Kim; Kunievsky et al.,2025,preprint,"Current AI systems minimize risk by enforcing ideological neutrality, yet this may introduce automation bias by suppressing cognitive engagement in human decision-making. We conducted randomized trials with 2,500 participants to test whether culturally biased AI enhances human decision-making. Participants interacted with politically diverse GPT-4o variants on information evaluation tasks. Partisan AI assistants enhanced human performance, increased engagement, and reduced evaluative bias compared to non-biased counterparts, with amplified benefits when participants encountered opposing views. These gains carried a trust penalty: participants underappreciated biased AI and overcredited neutral systems. Exposing participants to two AIs whose biases flanked human perspectives closed the perception-performance gap. These findings complicate conventional wisdom about AI neutrality, suggesting that strategic integration of diverse cultural biases may foster improved and resilient human decision-making.",discard,20,out-of-scope,Focused on bias of LLMs
47,QYT8RRWL,Methods and techniques of agentic software engineering: a systematic literature review,N. Otoum; N. Elkhalili,2026,journalArticle,"The development of agentic software engineering (ASE) is shifting the software development process, specifically by adopting autonomous agents into the fundamental software development process, where autonomous agents using large language models (LLMs) and artificial intelligence (AI) make decisions, write code, and collaborate across the entire software development lifecycle. The systematic review is a summary of literature on the agentic software engineering methodologies, frameworks, and techniques published in 2022-2025. We identify and compare methods based on autonomous coding, multi-agent systems, iterative refinement, and human-agent collaboration, drawing on 61 high-quality studies. We find that LLM-based agents show substantial potential in automated software engineering and that recent work is exploring new trends in agent cooperation, reasoning systems, and tool integration. We recognize such key challenges as the coordination procedures, reliability, explainability, and the ethical issues. This review characterizes the emerging role of agentic software engineering in improving the productivity of developers, the quality of their code, and the automation of their processes, and it offers a structured roadmap for future research. With the rapid evolution of the field, agentic approaches will tend to transform the conception, creation, and maintenance of software and provide more autonomous, adaptive, and intelligent systems.",core,80,,"Agentic coding, including human collab.Oversight should fit in."
48,SVPFXI3P,From replication to redesign: exploring pairwise comparisons for LLM-based peer review,Zhang; Zhang; Ji et al.,2025,preprint,"The advent of large language models (LLMs) offers unprecedented opportunities to reimagine peer review beyond the constraints of traditional workflows. Despite these opportunities, prior efforts have largely focused on replicating traditional review workflows with LLMs serving as direct substitutes for human reviewers, while limited attention has been given to exploring new paradigms that fundamentally rethink how LLMs can participate in the academic review process. In this paper, we introduce and explore a novel mechanism that employs LLM agents to perform pairwise comparisons among manuscripts instead of individual scoring. By aggregating outcomes from substantial pairwise evaluations, this approach enables a more accurate and robust measure of relative manuscript quality. Our experiments demonstrate that this comparative approach significantly outperforms traditional rating-based methods in identifying high-impact papers. However, our analysis also reveals emergent biases in the selection process, notably a reduced novelty in research topics and an increased institutional imbalance. These findings highlight both the transformative potential of rethinking peer review with LLMs and critical challenges that future systems must address to ensure equity and diversity.",context,40,,Unrelated.
49,X7S3ELFB,Decision-agent fit in business intelligence: a governance-first framework for agentic AI,Rupesh Ghosh,2026,journalArticle,"Findings Human-in-the-loop and rule-based agents enhance governance and reliability; conversational agents improve speed and user acceptance; autonomous / Practical implications The DAF framework enables BI leaders to balance automation benefits with governance and cost objectives through risk-based agent / Business intelligence, Decision intelligence, Agentic AI, Decision-agent fit (DAF), Governance, Decision support systems",discard,10,out-of-scope,Unrelated.
50,462N6DT8,Developers’ dilemma: opportunities and pitfalls of generative AI for software development,Zacharias; Popova; Zahn et al.,2026,journalArticle,"Generative artificial intelligence (GenAI) has attracted worldwide attention across numerous domains, with particularly strong implications for software development. Effective integration of GenAI requires a thorough understanding of both its opportunities and pitfalls for software developers and the organizations they are embedded in. In this study, 30 expert interviews were conducted to examine the sociotechnical impact of GenAI from the perspective of software development practitioners. The findings show that GenAI can enhance individual and organizational productivity and stimulate creative problem-solving. At the same time, concerns emerge around over-reliance, skill degradation, and homogenization among developers. Moreover, with GenAI rapidly providing valuable information, communication between developers may decline, potentially undermining interpersonal relationships and team cohesion. These insights contribute to information systems theory by examining GenAI’s effects on social capital, machine-induced reflections, and developers’ professional identity, while also offering practical implications for the effective and sustainable adoption of GenAI in software development. © The Author(s) 2026.",context,50,,Not directly related ot human oversight