item_key,paperId,how,s2_title,our_title
3ZVMBGPB,a8e015713043440e9c8bc08a0b395b6256c61eed,ARXIV,Rethinking Code Review in the Age of AI: A Vision for Agentic Code Review,Rethinking code review in the age of AI: a vision for agentic code review
8MXATG38,78d956b8b95949e17bdef89eb1d2d8455f3e826d,DOI,AI-Augmented Software Engineering for Rapid Feature Delivery and Operations Automation,AI-augmented software engineering for rapid feature delivery and operations automation
XZEHQYNZ,b7fb51eebda8cc2e832ec4c8f042191db6cd623f,DOI,Architecting Trust: Designing Human Oversight and Accountability for AI-Driven Software Engineering Under the EU AI Act,Architecting trust: designing human oversight and accountability for AI-driven software engineering under the EU AI act
RPHK78A9,,UNRESOLVED,,"Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond"
T72TU8B5,090f081830f2a2482be10c3cafe4388c23417412,ARXIV,Hedwig: Dynamic Autonomy for Coding Agents Under Local Oversight,Hedwig: dynamic autonomy for coding agents under local oversight
WH2PIBNQ,9715d83d605da92a5049b343145a874ce1042443,DOI,"Responsible Vibe Coding: Architecture, Opportunities, and Research Agenda","Responsible vibe coding: architecture, opportunities, and research agenda"
XJAXB98T,9b8b4f4ff5e5535998edf7e4c7e3139c0305063f,ARXIV,Beyond Banning AI: A First Look at GenAI Governance in Open Source Software Communities,Beyond banning AI: a first look at GenAI governance in open source software communities
TF56EPIP,79b937dcee3b2583e66df5c99d9f64734bf313c1,ARXIV,Rethinking Autonomy: Preventing Failures in AI-Driven Software Engineering,Rethinking autonomy: preventing failures in AI-driven software engineering
LCPH3THV,04745b236cf9ebdb06f33d14afa5e7541775af6c,DOI,"LLM-as-a-Judge for Software Engineering: Literature Review, Vision, and the Road Ahead","LLM-as-a-judge for software engineering: literature review, vision, and the road ahead"
CI93QRUH,c3ac2edb15b1a78b7818e8cbae5950cfef5e7d3e,DOI,HiLDE: Intentional Code Generation via Human-in-the-Loop Decoding,HiLDE: intentional code generation via human-in-the-loop decoding
3SU9QZ6F,7b529fda5f6e0c020174fe7e38ccd3c96428f967,ARXIV,AIRA: AI-Induced Risk Audit: A Structured Inspection Framework for AI-Generated Code,AIRA: AI-induced risk audit: a structured inspection framework for AI-generated code
27YULT5I,,UNRESOLVED,,"The ethics of AI-assisted code migration in regulated financial systems: accountability, transparency, and human oversig"
WBS9U5N7,,UNRESOLVED,,Cognitive camouflage: specification gaming in LLM-generated code evades holistic evaluation but not adversarial executio
RG4A4D6K,2bcdfd98a79a6373570a4563a0de3af67a869d3d,DOI,From Black Box to Open Book: An Emerging Transparency Imperative in Generative AI Codebases,From black box to open book: an emerging transparency imperative in generative AI codebases
A6ZE2A26,0b90a4d18ecde700e054bb0cde2d67f61042f669,ARXIV,Vibe Coding on Trial: Operating Characteristics of Unanimous LLM Juries,Vibe coding on trial: operating characteristics of unanimous LLM juries
LB84WJKI,36dd0509f4f14cc0643d37d5a89e1ff6063bcdcc,DOI,Human-In-The-Loop Software Development Agents,Human-In-the-loop software development agents
7SH86C2W,e9fce72567603bc8ec4684d51e9bc709a4cee71e,ARXIV,Shift-Up: A Framework for Software Engineering Guardrails in AI-native Software Development - Initial Findings,Shift-up: a framework for software engineering guardrails in AI-native software development -- initial findings
PD297DUM,6de43d2b2362375e0f8058a44243b2bb2000cc67,DOI,My Code Is Less Secure with Gen AI: Surveying Developers' Perceptions of the Impact of Code Generation Tools on Security,My code is less secure with gen AI: surveying developers' perceptions of the impact of code generation tools on security
R9CDT9KB,afc1f55d7736630ecc603016d94d90dbfdee899e,DOI,Trust-Calibrated Multi-Stage Large Language Model Pipeline for Vulnerability Assessment in DevSecOps Workflows,Trust-calibrated multi-stage large language model pipeline for vulnerability assessment in DevSecOps workflows
T8E8SCCG,51dfbad3e91b3489f30067dafb682edea96695be,ARXIV,VibeGuard: A Security Gate Framework for AI-Generated Code,VibeGuard: a security gate framework for AI-generated code
XRTVITVP,80ca990301c6f1e6f9f7dc14ec1917f80ec303d0,ARXIV,Steering LLMs via Scalable Interactive Oversight,Steering LLMs via scalable interactive oversight
VFNJSZD9,,UNRESOLVED,,Beyond SAST and DAST: a unified security testing architecture for autonomous coding agents
FWKYVQPD,,UNRESOLVED,,Vibe coding and AI-led conversational programming: emerging trends in software development
6NTZ85CW,b3ad3ae14417445438bc0c7a53aafd5d237a9880,ARXIV,Multi-Agent Penetration Testing AI for the Web,Multi-agent penetration testing AI for the web
4AXDVW7J,163f0a6e73ae5158eac2ea1812aaa1b674c83bf8,DOI,Ethical Prompt Engineering for AI-driven SE: Evidence-informed Interaction-time Governance Roadmap to 2030,Ethical prompt engineering for AI-driven SE: evidence-informed interaction-time governance roadmap to 2030
E3E5YA2E,83576f5c7b46badeeb27c704b66252af81fcf7af,DOI,"Redefining the Programmer: Human-AI Collaboration, LLMs, and Security in Modern Software Engineering","Redefining the programmer: human-AI collaboration, LLMs, and security in modern software engineering"
YBHHYR4P,ce3f027b68dad014a58aa35f52380932c8d0b209,DOI,Do Users Write More Insecure Code with AI Assistants?,Do users write more insecure code with AI assistants?
QUXRX9ZL,0158bfad12bde5139fe794b863951c7cba95226f,DOI,The Prompt–Refactor–Verify (PRV) Cycle: A Human-Centered Framework for AI-Assisted Programming,The prompt–refactor–verify (PRV) cycle: a human-centered framework for AI-assisted programming
B4TVIG5Y,746986f4a78981f42fb3b4e14012c51d1e28da61,DOI,Toward a Maturity Model for AI-Assisted Software Development: Conceptual Framework and Research Agenda,Toward a maturity model for AI-assisted software development: conceptual framework and research agenda
JCTP8VXP,79d62e9916a33d66bff27819260172fb833e57a8,ARXIV,ZORO: Active Rules for Reliable Vibe Coding,ZORO: active rules for reliable vibe coding
C88VGWMI,0eecb5ae4819b5a36e762466feff29db375f619c,ARXIV,Constitutional Spec-Driven Development: Enforcing Security by Construction in AI-Assisted Code Generation,Constitutional spec-driven development: enforcing security by construction in AI-assisted code generation
SHK6KAX6,57dac24f0d12ecbd823bb5f85bdeb33a6df49e56,ARXIV,"AI builds, We Analyze: An Empirical Study of AI-Generated Build Code Quality","AI builds, we analyze: an empirical study of AI-generated build code quality"
34ELRWJH,b379232733a4de4ef20db9d827bd7c0120cf6ddc,title,"The Hidden Legal Minefield: How AI-Assisted ""Vibe Coding"" Amplifies Software Development Risks and How Technology can Provide Solutions","The hidden legal minefield: how AI-assisted ""vibe coding"" amplifies software development risks and how technology can pr"
95CPB7CF,c115538ed1ccdbbfb5f7e73f1d2c4d3195ca9e0e,ARXIV,Beyond the 'Diff': Addressing Agentic Entropy in Agentic Software Development,Beyond the 'diff': addressing agentic entropy in agentic software development
X7EN6DXZ,37672f668e296c886525b562037213dd3076b197,ARXIV,Measuring and Exploiting Contextual Bias in LLM-Assisted Security Code Review,Measuring and exploiting contextual bias in LLM-assisted security code review
BAWCBT9R,16f1651153c5661719aa487fc73c8e9119cf27cc,ARXIV,Bias in the Loop: Auditing LLM-as-a-Judge for Software Engineering,Bias in the loop: auditing LLM-as-a-judge for software engineering
UIXCRBQX,c3d8c9b56f9d290580b8b5cf8f318b949a5239c6,ARXIV,"Safer Builders, Risky Maintainers: A Comparative Study of Breaking Changes in Human vs Agentic PRs","Safer builders, risky maintainers: a comparative study of breaking changes in human vs agentic PRs"
5Q4G4CQB,151cbcb1ad3cc421285322b762eb3cc338b66296,DOI,AI-Driven Continuous Integration: Automating Code Review and Deployment with LLMs,AI-driven continuous integration: automating code review and deployment with LLMs
5BAZZWHG,bdd68ad7d18c2a4fa15dbbf262d16453d900b532,ARXIV,"""I'm Not Reading All of That"": Understanding Software Engineers' Level of Cognitive Engagement with Agentic Coding Assistants","""I'm not reading all of that"": understanding software engineers' level of cognitive engagement with agentic coding assis"
NGIH5T4C,9866e05e0bedf3e7900901b10c588df1895f7215,title-weak,Enhancing software development practices with AI insights in high-tech companies,The evolving landscape of code review: leveraging artificial intelligence for enhanced software quality and developer pr
R2QMVNXI,8cd78015e4d44d97bd2c1bb536bccb4e9a8fcfec,ARXIV,Coding With AI: From a Reflection on Industrial Practices to Future Computer Science and Software Engineering Education,Coding with AI: from a reflection on industrial practices to future computer science and software engineering education
UDVHQ5HR,7304d42d3f77b75ee741877436868df225479ef0,ARXIV,Uncovering Systematic Failures of LLMs in Verifying Code Against Natural Language Specifications,Uncovering systematic failures of LLMs in verifying code against natural language specifications
ID7IN65K,9dcc0f1306f8f29d964ea04ac84217186b3b2a72,ARXIV,To Copilot and Beyond: 22 AI Systems Developers Want Built,To copilot and beyond: 22 AI systems developers want built
6ZW9QNQH,b285fc29d2a4e92c406defbf9f58756d9325734c,DOI,Position: Vibe Coding Needs Vibe Reasoning: Improving Vibe Coding with Formal Verification,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification
BLR3XE3I,de96abeae87ccc05b85d809d0a178bcb571ebd8e,DOI,"Vibe Coding in Product Teams: Reconfiguring AI-Assisted Workflows, Prototyping, and Collaboration","Vibe Coding in Product Teams: Reconfiguring AI-Assisted Workflows, Prototyping, and Collaboration"
GAD5Z8PV,37977c1fde4b12173330835628ec671831f72d1f,ARXIV,"SLEAN: Simple Lightweight Ensemble Analysis Network for Multi-Provider LLM Coordination: Design, Implementation, and Vibe Coding Bug Investigation Case Study","SLEAN: simple lightweight ensemble analysis network for multi-provider LLM coordination: design, implementation, and vib"
4T5QFWZE,a03795789595e6ddd478095b1d7458c2e7a3eea6,ARXIV,"More Code, Less Reuse: Investigating Code Quality and Reviewer Sentiment towards AI-generated Pull Requests","More code, less reuse: investigating code quality and reviewer sentiment towards AI-generated pull requests"
P837LJWE,8b3adb0b38b60932422d4c51399461c85a824ea1,DOI,Modernization of enterprise payment infrastructure: A case study on LLM-assisted migration of legacy distributed systems,Modernization of enterprise payment infrastructure: a case study on LLM-assisted migration of legacy distributed systems
6DXZGHD9,16ddc4f1ccbf9a09ea481be930c076c6965cea38,DOI,A generative AI cybersecurity risks mitigation model for code generation: using ANN-ISM hybrid approach,A generative AI cybersecurity risks mitigation model for code generation: using ANN-ISM hybrid approach
WRXR2VTP,c5e029a8904429f44eb8b8a9e9b45b091f510c3e,DOI,VibeContract: The Missing Quality Assurance Piece in Vibe Coding,VibeContract: the missing quality assurance piece in vibe coding
4PSM6ZCD,e7d090d9d7d795f8b7abbf4373bac17c75444ce8,ARXIV,Is Vibe Coding Safe? Benchmarking Vulnerability of Agent-Generated Code in Real-World Tasks,Is vibe coding safe? Benchmarking vulnerability of agent-generated code in real-world tasks
QI8246A3,435053aacc2d87f401787bd9a7e9d82575dd6deb,title,The Rise of AI Teammates in Software Engineering (SE) 3.0: How Autonomous Coding Agents Are Reshaping Software Engineering,The rise of AI teammates in software engineering (SE) 3.0: how autonomous coding agents are reshaping software engineeri
E9RAWBDT,23577f8834380c0c1555293db2ea20cf46b01e99,ARXIV,"Good Vibrations? A Qualitative Study of Co-Creation, Communication, Flow, and Trust in Vibe Coding","Good vibrations? A qualitative study of Co-creation, communication, flow, and trust in vibe coding"
8AW26GFK,d3c339642d17890d75dceb44b51ff53928fdb4c0,ARXIV,Architecture Without Architects: How AI Coding Agents Shape Software Architecture,Architecture without architects: how AI coding agents shape software architecture
YA7XNWYE,55015b9ebcd8adb77e504539353eed6fc1776e4b,DOI,Cybersecurity Risks of AI-Generated Code,Cybersecurity risks of AI-generated code
F9JM9CI6,2ca14a84b5eda86bc4327cb0d6d7faf59e78f15c,DOI,"Support, Not Automation: Towards AI-supported Code Review For Code Quality and Beyond","Support, not automation: towards AI-supported code review for code quality and beyond"
6F3S8IB7,15ae9555fa2385433e9f9352e51fb85fa5c49ce0,ARXIV,HAIF: A Human-AI Integration Framework for Hybrid Team Operations,HAIF: a human-AI integration framework for hybrid team operations
RX9SICP9,d298cb07526b96e497d13ba0eb509b14868e31f1,ARXIV,IACDM: Interactive Adversarial Convergence Development Methodology - A Structured Framework for AI-Assisted Software Development,IACDM: interactive adversarial convergence development methodology -- a structured framework for AI-assisted software de
8KJEKBGT,4548f5fc627eeccf55ac05f383819c7052bad389,title,Software Vulnerability and Functionality Assessment using LLMs,Software vulnerability and functionality assessment using LLMs
E689ZAXC,,UNRESOLVED,,Review makes workers less likely to revise AI output
LGZXFLSJ,f58ec29701279ce7bcf72646075d47665418fa12,title,Causal Mapping of the Risks of Using Generative AI in Software Development,Causal mapping of the risks of using generative ai in software development
HJGKKX9S,5d013b6372e08a7f10dc3b614bebdabe449b776b,DOI,Human-In-The-Loop Software Development Agents: Challenges and Future Directions,Human-In-the-loop software development agents: challenges and future directions
E95T8E88,cdbb759fde59b2d9141d0aba867c8f70993edc95,ARXIV,What to Cut? Predicting Unnecessary Methods in Agentic Code Generation,What to cut? Predicting unnecessary methods in agentic code generation
7V7SRG43,5d3471ba45ce5585c7bc494c1b70e5c1f041b013,ARXIV,CodeAgent: Autonomous Communicative Agents for Code Review,CodeAgent: autonomous communicative agents for code review
399HN438,4800ae18f6c0e83007874023de66d2e045288ef4,title-weak,Context-aware code review: integrating generative AI for automated pull request analysis,Turbocharging pull request reviews: exploring generative AI for code review
PDYJGF2R,defaaf2abfedcca841dd5d5bd60c2657d0454868,title,The Hidden Risks of LLM-Generated Web Application Code: A Security-Centric Evaluation of Code Generation Capabilities in Large Language Models,The hidden risks of LLM-generated web application code: a security-centric evaluation of code generation capabilities in
4FGIVVTG,d1e48eab2cf2cba5a09bb1fd59e3ac8ed381bf94,DOI,Evaluating Human-AI Partnership for LLM-based Code Migration,Evaluating human-AI partnership for LLM-based code migration
Y4TIF9KW,e3e2b939f8f001ca20931d96d67e818a82c3605b,DOI,"Code Prism: A Multi-Agent, Multi-LLM, Semantic Indexing Artifact for Regulatory Code Audits — A Design Science Research Study","Code prism: a multi-agent, multi-LLM, semantic indexing artifact for regulatory code audits — a design science research "
5RKMGRNA,86c9530aa4092396062afec83873191f05bf727a,DOI,An Agentic-AI Solution for Intelligent Code Review,An agentic-AI solution for intelligent code review
T2EG4BE2,25094a36738205570343d297faa4c2c1d9805c89,ARXIV,"Vibe Coding in Practice: Flow, Technical Debt, and Guidelines for Sustainable Use","Vibe coding in practice: flow, technical debt, and guidelines for sustainable use"
9R6TGN82,0311f5740c78a5dff9890a97b4be59068bbc3d8b,ARXIV,Training Language Models to Generate Quality Code with Program Analysis Feedback,Training language models to generate quality code with program analysis feedback
MFSZPSPU,7b08e12d6790e3a8912d37fa047fc5c1d3a70dad,ARXIV,Towards a Human-in-the-Loop Framework for Reliable Patch Evaluation Using an LLM-as-a-Judge,Towards a human-in-the-loop framework for reliable patch evaluation using an LLM-as-a-judge
DJMBHHZN,e137b9469758050a8e6112317161a68d1dbd6011,title,"MOSAICO: Management, Orchestration and Supervision of AI-agent COmmunities for reliable AI in software engineering","MOSAICO: management, orchestration and supervision of AI-agent COmmunities for reliable AI in software engineering"
2CKL96B8,,UNRESOLVED,,The effect of AI tools on modern software development for frontend engineering: an empirical analysis
QTJPLBYR,,UNRESOLVED,,Evaluating security and inclusivity in LLM-generated code: a controlled experiment
ZSB2S59N,8b791d4f773f4f363d52eb9bcb0bc0f093c60a01,title-weak,A Responsible AI approach for designing resilient classifier to handle incomplete data,Designing guardrails: ensuring responsible AI behavior
72W6R4JG,906115f2662b9e978f7ffe3327ee225eb8a0c5e3,ARXIV,"Vibe-Coding: Feedback-Based Automated Verification with no Human Code Inspection, a Feasibility Study","Vibe-coding: feedback-based automated verification with no human code inspection, a feasibility study"
QWHE9EXH,cb1e31218f58f3c4279e46ab0578244c2096d34a,ARXIV,STELP: Secure Transpilation and Execution of LLM-Generated Programs,STELP: secure transpilation and execution of LLM-generated programs
VG6CIDQW,9be24f97bea8a72282cf06c5bc8814e8112e23d4,DOI,Lumen: Developer Agency Through Transparent Context Control in AI-Assisted Programming,Lumen: developer agency through transparent context control in AI-assisted programming
VCI88UZD,a8a9232154c93683ff6d33d3367dce2b1327c534,ARXIV,Human-Certified Module Repositories for the AI Age,Human-certified module repositories for the AI age
TA6GIUK2,8ec8448909b6601e9732fd7992773853a6378cf6,ARXIV,The Specification as Quality Gate: Three Hypotheses on AI-Assisted Code Review,The specification as quality gate: three hypotheses on AI-assisted code review
T3XTXIXW,10c0415a01fbaeefb110b4c7479560371c3a16eb,ARXIV,CoTDeceptor:Adversarial Code Obfuscation Against CoT-Enhanced LLM Code Agents,CoTDeceptor:adversarial code obfuscation against CoT-enhanced LLM code agents
DJHG9BBS,db56fcaccb77418cae5ee2c439f8821a99a64815,ARXIV,AI-powered Code Review with LLMs: Early Results,AI-powered code review with LLMs: early results
GCZQTNBD,178a6ad1f7e74441edc0d828e28b7b59255e7e0a,DOI,LLM4VV: Exploring LLM-as-a-Judge for Validation and Verification Testsuites,LLM4VV: exploring LLM-as-a-judge for validation and verification testsuites
D87A4CAS,32220b3bbb216557e53de16ff41953c896aa7c6a,DOI,Enhancing Software Development with Large Language Models: A Case Study of Kolay.ai,Enhancing software development with large language models: a case study of kolay.ai
VG8PSMM7,523443749a621ce675615d52a159bce3295224ba,DOI,Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming,Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming
5I2W8IC6,850c787c907ff3c7e77d47cbfbaba0f24702d9ac,DOI,Mapping the Trust Terrain: LLMs in Software Engineering - Insights and Perspectives,Mapping the trust terrain: LLMs in software engineering - insights and perspectives
22JBEZNK,88d9d3b24110bba5115537f97e910b898a9381e9,DOI,Non-programmers Assessing AI-Generated Code: A Case Study of Business Users Analyzing Data,Non-programmers assessing AI-generated code: a case study of business users analyzing data
VZ27QUPQ,e6852295b2f46fbc2f048ad243ae28328aa4d5f2,DOI,Identifying and Mitigating API Misuse in Large Language Models,Identifying and mitigating API misuse in large language models
HJMKADKU,2cba2788548c4dfa37b7974babbe93c929b89c45,DOI,Bugdar: AI-Augmented Secure Code Review for GitHub Pull Requests,Bugdar: AI-augmented secure code review for GitHub pull requests
R4WJZBSF,5d192336d8cb37739dd61110c982b6d79f9cd2bd,DOI,A Framework for Quantifying Ethical and Regulatory Risks in Big Data Analytics and AI-Assisted Banking Software Development,A framework for quantifying ethical and regulatory risks in big data analytics and AI-assisted banking software developm
UB2EVUFU,a0debf8ca54d2567a476d10721a230744ff3161e,ARXIV,Self-Organizing Multi-Agent Systems for Continuous Software Development,Self-organizing multi-agent systems for continuous software development
2KPHQ5IV,0aa1eb9e77210523d2ee3170e90afff1953b3511,ARXIV,Scaling Human-AI Coding Collaboration Requires a Governable Consensus Layer,Scaling human-AI coding collaboration requires a governable consensus layer
WPWF7A32,5a88a20c52babf6d77cce39fd1bfc6ba86a2fa4c,ARXIV,DevLicOps: A Framework for Mitigating Licensing Risks in AI-Generated Code,DevLicOps: a framework for mitigating licensing risks in AI-generated code
ZUM76CCG,76b6be27209bbdaf6f675a8cfd9abc49d2fb16b5,ARXIV,Generative AI in Systems Engineering: A Framework for Risk Assessment of Large Language Models,Generative AI in systems engineering: a framework for risk assessment of large language models
TJH7QFAX,ae00888d96cf900fca39e33a194dd80ae4845802,ARXIV,"Code for Machines, Not Just Humans: Quantifying AI-Friendliness with Code Health Metrics","Code for machines, not just humans: quantifying AI-friendliness with code health metrics"
PPMTM4DG,fb4daa7270a8dd3b2c46853dff122d37403830cd,DOI,Fight Fire With Fire: How Much Can We Trust ChatGPT on Source Code-Related Tasks?,Fight fire with fire: how much can we trust ChatGPT on source code-related tasks?
5DI9B43K,f93d90094c273bddd86adbead1eaf89ccf9ddd27,ARXIV,Towards Verified Code Reasoning by LLMs,Towards verified code reasoning by LLMs
WZCULPXN,55d15c8b3a89be39f8fdb443dfe06141e67c174f,DOI,Artificial Intelligence Tools in Web Application Development – Advantages and Challenges,Artificial intelligence tools in web application development – advantages and challenges
96XE669R,f9015951d555fc923f3fa5a32c8b057d0ba76fa2,ARXIV,SWE-IF: Aligning Code Evaluation with Human Preference,Vibe checker: aligning code evaluation with human preference
I6FZ5GD2,eba6e758ff4220f6dc2d3b45bffe4f812c64a4b5,ARXIV,Illuminating LLM Coding Agents: Visual Analytics for Deeper Understanding and Enhancement,Illuminating LLM coding agents: visual analytics for deeper understanding and enhancement
84D2AMVM,a0beb23664e36ee252bbb753ce96e96cec18ebeb,DOI,Realizing the Promise of AI Governance Involving Humans-in-the-Loop,Realizing the promise of AI governance involving humans-in-the-loop
5DCQDB4C,e2c3746cde38e45eb268603f08c7a10311538191,DOI,Effective Human Oversight of AI-Based Systems: A Signal Detection Perspective on the Detection of Inaccurate and Unfair Outputs,Effective human oversight of AI-based systems: a signal detection perspective on the detection of inaccurate and unfair 
ZGST9CY6,b30db5d5e0cbf0663a2e4a8066db808fe5dc4151,title,Designing meaningful human oversight in AI,Designing meaningful human oversight in AI
JVWUYDME,,UNRESOLVED,,"Scapegoat-as-a-service: moving from ""human-in-the-loop"" to ""human-in-command"" in regulated systems"
9MV2IVNU,,UNRESOLVED,,Human-in-the-loop isn't a checkbox: designing meaningful intervention in automated AI decisions
5RLPIA3K,e279a75a5c12237fd190fe4fd5112f53e85e5dba,title, Adversarial Verification as Reference Architecture for EU AI Act Article 14 Compliance in Employment AI,Adversarial verification as reference architecture for EU AI act article 14 compliance in employment AI
EB49Q8QM,ebe71f52b1837b04f14f103d5d1188cd83899b0e,title,The Rationality of Automation Bias in Security Operation Centers,The rationality of automation bias in security operation centers
N7E3MR2V,77c1e947c96e9c63e69618d4a443e3c58aa62f8e,DOI,SDLC AutoPilot AI: Agentic Automation of Software Development Life Cycle,SDLC AutoPilot AI: agentic automation of software development life cycle
6TZHUCMD,d4d6cc3b3685bf507efd286792ffb32e092a5169,DOI,Source Code Guardrail: AI Driven Solution to Distinguish Critical vs. Generic Code for Enterprise LLM Security,Source code guardrail: AI driven solution to distinguish critical vs. Generic code for enterprise LLM security
WUUDHL8R,c4d34df4b07aae9380296d2fef9cc6822450d88e,DOI,AI-Driven Refactoring: A Pipeline for Identifying and Correcting Data Clumps in Git Repositories,AI-driven refactoring: a pipeline for identifying and correcting data clumps in git repositories
UW2R6BBJ,ced6d52ba009f6ec6fc29f6566b9bf8dabbaeba1,DOI,Secure AI-SDLC for Critical Infrastructure: Operationalizing the NIST AI RMF with Evidence-Driven Controls,Secure AI-SDLC for critical infrastructure: operationalizing the NIST AI RMF with evidence-driven controls
M74M3RFJ,df57d57101916b4004e99b78881509a10ab81470,DOI,Developing Assurance Cases for Adversarial Robustness and Regulatory Compliance in LLMs,Developing assurance cases for adversarial robustness and regulatory compliance in LLMs
HBR7QZ2C,,UNRESOLVED,,Designing a policy engine for agentic AI systems: from governance requirements to runtime enforcement
