item_key,cocite,decision,confidence,rationale,title
FI8VIQKJ,1,keep,high,"Introduces a reproducible benchmark with dataset and novel metrics for evaluating secure code generation, directly operationalizable for org risk assessment",SALLM: security assessment of generated code
23SI35RH,1,discard,medium,"Large survey of usage patterns and preferences for AI coding assistants without a risk, oversight, or quality governance mechanism","Using AI-based coding assistants in practice: state of affairs, perceptions, and ways forward"
VMNUGXFZ,1,keep,high,Live programming tool and user study directly targeting developer validation of AI-generated code suggestions to reduce over/under-reliance,Validating AI-generated code with live programming
NPAQ7SQA,1,discard,medium,"UI/RAG tool for managing conflicting intent specifications and AI memory, not a code risk, quality, or oversight-scaling mechanism",Semantic commit: helping users update intent specifications for AI memory at scale
6ZW9QNQH,1,keep,high,Position paper proposing a formal-verification side-car system to mitigate vibe coding technical debt and security pitfalls,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification
Q5UQ4MBP,1,keep,high,"Empirical evaluation of LLM-based vulnerability detection performance, an actionable detection signal for security review",Large language model for vulnerability detection: emerging results and future directions
PF595SEQ,1,keep,high,Quantifies insecure code generation rates across four LLMs with CWE-based methodology and prompting/guidance mitigations,"""You still have to study"" -- On the Security of LLM generated code"
2KQ93JHX,1,keep,high,"Large-scale empirical measurement of package hallucination rates with mitigation strategies, directly actionable for supply-chain risk",We have a package for you: a comprehensive analysis of package hallucinations by code generating LLMs
DKN3R3PX,1,keep,high,"New benchmark and rigorous evaluation exposing overestimated vulnerability-detection performance of code LMs, informing detection reliability",Vulnerability detection with code language models: How Far Are We?
GWPKZS68,1,keep,high,"Systematic grey literature review of vibe coding QA practices and quality perceptions, core to the domain anchor","Vibe Coding in Practice: Motivations, Challenges, and a Future Outlook – a Grey Literature Review"
8K64UMFW,1,keep,medium,"Method for calibrated probabilistic estimation of generated program correctness offers a trust-calibration signal, though not framed around organizational governance",Toward Trustworthy Neural Program Synthesis
S44NI54N,1,discard,high,Field experiment on AI's effect on general team collaboration and performance at P&G with no software-specific risk or oversight angle,The Cybernetic Teammate: A Field Experiment on Generative AI Reshaping Teamwork and Expertise
WHP43VQK,1,keep,high,Proposes a systematic black-box method for discovering security vulnerabilities in code generation models like Copilot,Systematically finding security vulnerabilities in black-box code generation models
REZGA5WF,1,keep,high,"Causal empirical study quantifying how Cursor adoption raises velocity but increases complexity and static-analysis warnings, a quality-assurance bottleneck finding",Speed at the cost of quality: how cursor AI increases short-term velocity and long-term complexity in open-source projects
CNN7GGG2,1,keep,high,Realistic benchmark evaluating secure coding capability of code agents against human-introduced vulnerability scenarios,Secure Vibe Bench: evaluating secure coding capabilities of code agents with realistic vulnerability scenarios
B8DJBDXS,1,keep,high,Benchmark evaluating secure code completion by code agents across real-world repositories and CWE categories,SecRepoBench: Benchmarking Code Agents for Secure Code Completion in Real-World Repositories
59ZW4R58,1,keep,medium,"Proposes a governance framework (VIBE4M) for vibe coding maintenance risks, though the paper is largely a position/review piece",The gotchas of AI coding and vibe coding. It’s all about support and maintenance
3ZVMBGPB,1,keep,high,Vision paper for agentic code review addressing reviewer bottleneck from AI code volume with human-controlled quality gates,Rethinking code review in the age of AI: a vision for agentic code review
TF56EPIP,1,keep,high,"Proposes SAFE-AI governance framework and autonomy taxonomy directly addressing safety, oversight, and regulatory alignment for AI code agents",Rethinking autonomy: preventing failures in AI-driven software engineering
7ZMU5AIF,1,keep,medium,Human oversight and verification-trace design study for agentic AI is domain-general (computer-use agents) but its oversight mechanism plausibly transfers to code review verification,Overseeing Agents Without Constant Oversight: Challenges and Opportunities
CIP9FBM3,1,maybe,medium,"Large-scale MCP server security/maintainability study with governance recommendations, but targets AI-agent tool infrastructure rather than AI-generated code oversight directly",Model Context Protocol (MCP) at First Glance: Studying the Security and Maintainability of MCP Servers
RRTIRFGV,1,discard,medium,General-purpose LLM+CPG vulnerability detection technique with no tie to AI-generated code risk or oversight scaling context,LLMxCPG: context-aware vulnerability detection through code property graph-guided large language models
QNHBEIHD,1,keep,high,"Empirical vulnerability quantification of 2,500 GPT-4 generated PHP sites with reproducible hybrid-scanning methodology",LLMs in web development: evaluating LLM-generated PHP code unveiling vulnerabilities and limitations
N5X8N7C7,1,keep,medium,Proposes concrete autonomy-level framework and certification mechanism for agent oversight that transfers to coding-agent governance,Levels of Autonomy for AI agents
VVPBC4X8,1,keep,high,Introduces CodeSecEval benchmark quantifying LLM code generation vulnerabilities across 44 types plus mitigation strategies,Is Your AI-Generated Code Really Safe? Evaluating Large Language Models on Secure Code Generation with CodeSecEval
Y9G3DA92,1,maybe,medium,Quantifies Copilot-generated code quality decline via rework metric but frames findings mainly as productivity comparison rather than governance,Is GitHub copilot a substitute for human pair-programming? An empirical study
8BPD8FHF,1,discard,high,Physical exoskeleton control optimization study with no software engineering or code oversight relevance,Human-in-the-loop optimization of exoskeleton assistance during walking
N3EQJ6KP,1,keep,high,Empirical evaluation of ChatGPT-generated code security with reproducible experimental methodology and mitigation prompting,How secure is code generated by ChatGPT?
E9RAWBDT,1,keep,high,Foundational grounded-theory study of vibe coding practice surfacing concrete risks like code review burden and trust regulation,"Good vibrations? A qualitative study of Co-creation, communication, flow, and trust in vibe coding"
KF5MGIBI,1,keep,high,Fine-tuned LLM tool directly improving automated code review accuracy and comprehensibility for human reviewers,Fine-Tuning Large Language Models to Improve Accuracy and Comprehensibility of Automated Code Review
K5IAE4E7,1,keep,high,Empirically derived PICSE trust framework for AI-assisted software tools directly addresses developer trust calibration,Facilitating Trust in AI-assisted Software Tools
2RW2259S,1,keep,high,Comparative empirical benchmarking of code quality metrics across three AI code generation tools with reproducible methodology,"Evaluating the code quality of AI-assisted code generation tools: an empirical study on GitHub copilot, amazon CodeWhisperer, and ChatGPT"
5DCQDB4C,1,keep,medium,Signal detection theory framework for human oversight error detection explicitly generalizable to reviewing AI code outputs,Effective human oversight of AI-based systems: a signal detection perspective on the detection of inaccurate and unfair outputs
PWT5XJCC,1,discard,medium,Dataset paper cataloging developer-ChatGPT conversations without itself presenting an actionable governance or oversight mechanism,DevGPT: studying developer-ChatGPT conversations
SGRVP3HW,1,keep,medium,Novel bias testing framework quantifies fairness risk in LLM-generated code and validates a concrete mitigation strategy,Bias Testing and Mitigation in LLM-based Code Generation
KPGJPZT7,1,keep,medium,Systematic review of automation bias mediators and mitigators explicitly generalizes to over-reliance risks in AI-assisted code review,"Automation bias: a systematic review of frequency, effect mediators, and mitigators"
4936AWDW,1,keep,high,Pre-trained CodeReviewer model directly automates code review tasks including change quality estimation and comment generation,Automating code review activities by large-scale pre-training
FZK2QB5A,1,keep,medium,"Proposes Assured LLMSE generate-and-test framework with verifiable guarantees and human-reviewer role, though presented as a brief keynote outline",Assured offline LLM-based software engineering
VP7TS6CX,1,keep,high,Empirical evaluation of LLMs versus static analysis tools for security code review with measured performance factors,"An insight into security code review with LLMs: capabilities, obstacles, and influential factors"
F2C2DWSI,1,keep,high,Empirical OSS study quantifying increased rework and technical debt burden on experienced developers after Copilot adoption,AI-Assisted Programming Decreases the Productivity of Experienced Developers by Increasing the Technical Debt and Maintenance Burden
2CDVZKPT,1,keep,high,"Empirically quantifies APR system susceptibility to adversarial inputs and effectiveness of pre/post-repair defenses including human oversight, directly informing risk mitigation for AI-generated code fixes",Adversarial Bug Reports as a Security Risk in Language Model-Based Automated Program Repair
TRK43C3W,1,keep,low,Proposes adversarial attack classification and robustness testing for code LLMs but the abstract is truncated with no quantified results or clear operational mechanism,Adversarial attack classification and robustness testing for large language models for code
B8U9JING,1,discard,high,"Predicts reviewer assignment and patch acceptance for human-authored code with no AI-generation or AI-volume angle, a pure process-improvement study",Improving code review by predicting reviewers and acceptance of patches
KCVDBRDI,1,keep,high,"Combines LLMs with formal verification for automated vulnerability detection/repair with quantified accuracy across 50,000 programs, directly operationalizable for CI/CD quality assurance",A new era in software security: towards self-healing software via large language models and formal verification
JQPPKSFQ,1,keep,high,"Empirically characterizes auto-merged agentic PRs versus human-authored ones, directly informing repository policy on when review can safely be skipped for AI-generated code","Artifact for ""LGTM! Characteristics of Auto-Merged LLM-based Agentic PRs"""
JCTP8VXP,1,keep,high,"Introduces an active-rules mechanism that enforces and evolves human-agent alignment rules during vibe coding, a directly adoptable governance mechanism",ZORO: active rules for reliable vibe coding
4HHPJ4R4,1,keep,medium,General human-automation trust and self-correction study whose automation-bias and trust-calibration findings plausibly transfer to AI code review oversight though not code-specific,"The uncertain advisor: trust, accuracy, and self-correction in an automated decision support system"
KNJE9E4M,1,discard,high,"Presents a generic code-fixing transformer tool with no risk quantification, governance, or oversight framing",TFix: Learning to Fix Coding Errors with a Text-to-Text Transformer
B7IPCH77,1,discard,high,"Benchmarks an autonomous coding agent's task-solving interface with no human oversight, governance, or control mechanism discussed",SWE-agent: agent-computer interfaces enable automated software engineering
ARFXDZBW,1,discard,low,Thin abstract describing a broad research agenda for AI-enabled software architecture with no specific operationalizable governance or oversight mechanism,Software architecture in the age of agentic AI
4TUNZ7FU,1,keep,high,"Proposes four concrete interaction dimensions (alignment, verifiability, steerability, adaptability) for human oversight of coding agents, a directly operationalizable framework",Position: Humans are Missing from AI Coding Agent Research
FZ2HMDXT,1,maybe,medium,Surveys trust-evaluation methodologies for general AI-assisted decision-making that are plausibly adoptable for AI code trust evaluation but the abstract gives no software-specific application,How to Evaluate Trust in AI-Assisted Decision Making? A Survey of Empirical Methodologies
EQPDVDTD,1,keep,medium,Quantifies LLM-based vulnerability detection performance gains with a reproducible graph and in-context-learning methodology usable as a detection signal in code review pipelines,GRACE: Empowering LLM-based software vulnerability detection with graph structure and in-context learning
856D2923,1,keep,low,Title indicates direct relevance to governing AI-generated code in production but no abstract content is available to confirm operationalizability,From vibe to production: taming AI for fearless development
XAZKF497,1,keep,medium,"Case study identifies specific LLM code-generation failure modes and mitigation strategies requiring manual oversight, an operationalizable lesson though single-project generalizability is unclear",Experiences and Challenges in AI-Driven Modular Software Development Using Large Language Models for Code Generation
PA77DC8U,1,keep,high,Canonical automation-bias and signal-detection study explicitly transferable as a mechanism for AI code review oversight,Does automation bias decision-making?
WWBUQM7V,1,keep,high,Interview study directly on developer trust and oversight practices for ChatGPT-generated code with proposed reliability-enhancing solutions,Developers' perspective on trustworthiness of code generated by ChatGPT: insights from interviews
9HKDMT9M,1,keep,high,"Survey and interviews on GenAI code licensing and copyright with recommendations for regulators, directly code-specific legal-liability content",Developer Perspectives on Licensing and Copyright Issues Arising from Generative AI for Software Development
22FEMTD7,1,keep,medium,"Quantifies LLM-based vulnerability identification, discovery, and patching accuracy via a reproducible chain-of-thought methodology, an operationalizable detection and repair signal for code risk",Chain-of-Thought Prompting of Large Language Models for Discovering and Fixing Software Vulnerabilities
MI2Q4QIG,1,discard,medium,Generic signal detection theory statistics methodology paper with no software or AI-code connection to anchor operationalizability,Calculation of signal detection theory measures
5XJRXBDE,1,discard,high,"Pure LM capability benchmark for resolving GitHub issues with no governance, risk, or oversight mechanism",SWE-bench: CAN LANGUAGE MODELS RESOLVE REAL-WORLD GITHUB ISSUES?
AGE4E2VK,1,discard,high,Vision paper is a general MCR code-understanding taxonomy with no AI-generation volume or oversight angle,Help Me to Understand this Commit! - A Vision for Contextualized Code reviews
FWTGMK4D,1,maybe,medium,"Benchmarks LLMs as vulnerability detectors with reproducible accuracy metrics, but evaluates detection capability rather than AI-generated code risk or oversight directly, so transferability requires argument",From large to mammoth: a comparative evaluation of large language models in zero-shot vulnerability detection
4X5FD7NF,1,discard,high,"Functional-correctness benchmark for code generation with no risk, governance, or oversight dimension",CoderEval: a benchmark of pragmatic code generation with generative pre-trained models
CND5HNTA,1,discard,low,"Abstract offers only generic industrial 'hints' for GAI development with no discernible risk, governance, or oversight mechanism, though thinness leaves this uncertain",Hints for generative AI software development
GUR6XUU2,2,keep,high,"Empirically quantifies how data poisoning induces AI code generators to emit vulnerable code and offers mitigation insight, directly actionable for AI code risk management",Vulnerabilities in AI Code Generators: Exploring Targeted Data Poisoning Attacks
UTTJ5N93,2,keep,medium,"Experimentally validated cognitive-forcing interventions reduce AI overreliance, a mechanism that plausibly transfers to reviewers rubber-stamping AI-generated code though the study itself is domain-general",To Trust or to Think: Cognitive Forcing Functions Can Reduce Overreliance on AI in AI-assisted Decision-making
F2SZGGRZ,2,keep,high,Empirical study on predicting code review comment locations at scale gives a concrete mechanism for scaling review capacity,Towards automating code review at scale
7FKKZFHN,2,keep,high,Demonstrates covert poisoning attacks on code-suggestion models with explicit practitioner implications for vetting training data used to build such tools,TrojanPuzzle: Covertly Poisoning Code-Suggestion Models
5UTEUK6X,2,maybe,medium,Roadmap for trustworthy AI4SE is governance-relevant but broad and aspirational rather than presenting a concrete measurable mechanism,Trustworthy and Synergistic Artificial Intelligence for Software Engineering: Vision and Roadmaps
QI8246A3,2,keep,high,Large-scale empirical dataset on autonomous coding agent PRs reveals a trust/acceptance gap directly relevant to org-level oversight of AI-generated code at scale,The rise of AI teammates in software engineering (SE) 3.0: how autonomous coding agents are reshaping software engineering
3Z45M3V3,2,keep,high,"Empirically quantifies security weaknesses by CWE category in Copilot-generated code merged into real projects and measures a chat-based mitigation, a reproducible risk-measurement methodology",Security weaknesses of copilot generated code in GitHub
9N82F9NM,2,keep,high,Benchmark platform quantifying security risk and capability of code-generating LLMs across CWE categories gives orgs a reproducible evaluation tool,SecCodePLT: a unified platform for evaluating the security of code GenAI
EQDJ67ZA,2,keep,low,"Lessons on designing and deploying static analysis at massive scale are operationalizable for scaling automated code-quality oversight, though the abstract is too thin to confirm an AI-generation angle",Scaling static analyses at Facebook
VVXZPW48,2,keep,medium,"Quantifies human-effort reduction in peer review via automated static analysis and reviewer recommendation, a concrete mechanism for scaling review capacity even without explicit AI-generated-code framing",Reducing human effort and improving quality in peer code reviews using automatic static analysis and reviewer recommendation
7534QAHG,2,keep,high,Comprehensive benchmark quantifying insecure-code propensity of LLM coding assistants across model families gives a reproducible tool for org risk assessment,Purple Llama CyberSecEval: A Secure Coding Benchmark for Language Models
Z8TPRNEU,2,keep,high,Field study of how professional developers control and retain agency over AI coding agents directly addresses developer oversight strategies for AI-generated code,"Professional Software Developers Don't Vibe, They Control: AI Agent Use for Coding in 2025"
IKZN8E7A,2,keep,high,"Interview study identifies UI mechanisms (confidence highlighting, alternate translations) that aid developer detection and correction of AI-generated code errors",Perfection Not Required? Human-AI Partnerships in Code Translation
XKPSVE7I,2,keep,high,Empirical analysis of developer reactions to ChatGPT code review comments yields actionable insight for improving LLM-assisted code review effectiveness,On the use of ChatGPT for code review: do developers like reviews by ChatGPT?
7XJIQ2CN,2,keep,high,"Industry interview study yields the PICSE framework for trust in software tools including AI-based ones, an actionable governance/trust framework",Make your tools sparkle with trust: the PICSE framework for trust in software tools
9ASU27HM,2,keep,medium,"Provides a hallucination taxonomy and RAG-based mitigation mechanism for LLM code generation, an actionable risk-reduction technique though its org-governance framing requires some inference","LLM hallucinations in practical code generation: phenomena, mechanism, and mitigation"
ZRQWTMGM,2,keep,high,"Delivers a reproducible bug-detection technique validated specifically on AI-generated plausible programs, giving orgs a concrete QA mechanism for AI-code defects",LLM-powered test case generation for detecting tricky bugs
VRRK8IVN,2,keep,medium,"Presents an LLM-based code review automation framework that could scale reviewer throughput, though it lacks explicit framing around AI-generated code volume",LLaMA-reviewer: advancing code review automation with large language models through parameter-efficient fine-tuning
JM6UWUZ9,2,discard,high,Generic line-level vulnerability prediction model with no connection to AI-generated code or LLM code generation,LineVul: a transformer-based line-level vulnerability prediction
MSF59BDP,2,keep,high,Directly operationalizes human oversight of AI-generated code via in-situ explanations that accelerate developer inspection of generated code,Ivie: lightweight anchored explanations of just-generated code
MCXIHB8I,2,keep,high,"Empirically examines and models developer trust calibration for AI code generation tools, matching the Tier1 oversight/trust criterion directly",“It would work for me too”: how online communities shape software developers’ trust in AI-powered code generation tools
N6436VDK,2,keep,high,"Empirical, reproducible comparison quantifying vulnerability introduction rates of Copilot versus human developers",Is GitHub’s copilot as bad as humans at introducing vulnerabilities in code?
NUNE3V8D,2,maybe,medium,"Provides an interactive oversight/steering mechanism for multi-agent AI systems, but the abstract does not confirm the agents are coding agents, so transferability to code review requires argument",Interactive debugging and steering of multi-agent AI systems
QF6IR6BU,2,keep,high,"Empirically validated interactive task-decomposition mechanism for steering and verifying AI-generated code, directly matching the developer-oversight-of-LLM-code criterion",Improving steering and verification in AI-assisted data analysis with interactive task decomposition
B695M96Q,2,keep,medium,"Proposes an LLM-based automated code evaluation metric correlated with human judgment, an operationalizable quality signal though not explicitly framed around org governance",ICE-score: instructing large language models to evaluate code
S84X892J,2,keep,high,Large-scale empirical study quantifying vulnerability rates across nine LLMs via reproducible formal-verification methodology with an explicit risk-assessment recommendation,How secure is AI-generated code: a large-scale comparison of large language models
PTINC7IM,2,keep,high,Empirical comparison quantifying Copilot's correctness and bug rates against human-written solutions on algorithmic tasks,GitHub copilot AI pair programmer: asset or liability?
3XUSIZP5,2,keep,medium,"Forward-looking roadmap for LLM-as-judge frameworks to scalably evaluate LLM-generated software artifacts, operationalizable as adoption guidance though still largely visionary",From code to courtroom: LLMs as the new software judges
MMA7FI98,2,keep,high,"Provides an automated LLM-based semantic correctness evaluation framework for generated code, directly usable as a scalable quality-assessment mechanism",CodeJudge: evaluating code generation with large language models
J8I5SWTJ,2,keep,medium,"Introduces a taxonomy and dynamic detection algorithm for code hallucinations with a benchmark, an actionable detection mechanism though centered on model behavior rather than org process",CodeHalu: code hallucinations in LLMs driven by execution-based verification
Z7F7F7UP,2,keep,high,"Introduces an in-context-learning secure-generation framework plus multi-language security evaluation, directly addressing AI code risk with an actionable mitigation approach","Can we trust large language models generated code? A framework for In-context learning, security patterns, and code evaluations across diverse LLMs"
J7VI4R7I,2,keep,high,"Quantifies API misuse rate (62% for GPT-4) in LLM-generated code via a reproducible benchmark dataset, an operationalizable defect measurement",Can LLM replace stack overflow? A study on robustness and reliability of large language model code generation
V4IRKSFI,2,keep,high,"Describes an industrial-scale automated code review system with reproducible precision/outdated-rate metrics, deployed to 12,000 weekly active users",BitsAI-CR: automated code review via LLM in practice
MEV4HPVU,2,keep,medium,"Provides a fairness framework that automatically generates test cases to quantify and mitigate social bias in AI-generated code, an actionable but narrower risk-measurement mechanism",Bias unveiled: investigating social bias in LLM-generated code
PR4GS7SP,2,keep,high,"Fully automated, human-correlated correctness verification method for AI-generated code requiring no human intervention, a directly operationalizable QA mechanism",Automating the correctness assessment of AI-generated code for security contexts
MPP2484V,2,keep,high,"Multi-agent framework quantifies a 13% vulnerability reduction via static analysis and fuzzing, giving orgs a concrete security-hardening mechanism for AI code generation",AutoSafeCoder: a multi-agent framework for securing LLM code generation through static analysis and fuzz testing
X7IMHFPC,2,discard,medium,"Study evaluates UI/interaction design trade-offs for proactive AI coding agents rather than providing a governance, risk, or oversight mechanism",Assistance or disruption? Exploring and evaluating the design and trade-offs of proactive AI programming support
QBCGMXQW,2,keep,high,"Reproducible experimental methodology quantifies Copilot code validity and correctness rates, directly usable as an org-level quality benchmark",Assessing the quality of GitHub copilot’s code generation
T425MFHF,2,discard,medium,Perception/usefulness study of LLMs in a student SE course lacks a governance or risk-oversight mechanism despite touching on human intervention levels,An empirical study on usage and perceptions of LLMs in a software engineering project
T5F9UDQZ,2,keep,high,"Describes a deployable AI-enhanced code review plugin that identifies and proposes fixes for syntax/semantic issues, operationalizing review augmentation",AICodeReview: advancing code quality with AI-enhanced reviews
CKKGWMRH,4,keep,high,"Taxonomy explicitly covers safety mechanisms and feedback loops distinguishing vibe coding from agentic coding, directly on the domain anchor",Vibe coding vs. Agentic coding: fundamentals and practical implications of agentic AI
5WHS4UEW,3,keep,medium,"Foundational trust-in-automation model is explicitly generalizable to trust calibration for AI-generated code oversight, though it requires domain translation",Trust in automation: designing for appropriate reliance
CU8CJMHG,3,keep,high,"Trained deep learning models automate contributor and reviewer code review tasks with quantified success rates, directly operationalizing review automation",Towards automating code review activities
JKIE8QZD,1,keep,high,Security-driven user study quantifies the rate of critical security bugs introduced with LLM coding assistance using a reproducible methodology,Security implications of large language model code assistants: a user study
CS438VQ2,3,keep,high,"Provides a reusable vulnerability benchmark dataset mapped to CWE for evaluating security of code generation models, a concrete measurement tool",SecurityEval dataset: mining vulnerability examples to evaluate machine learning-based code generation techniques
GSEP7MAN,4,keep,high,"Systematically quantifies ChatGPT code correctness, bug patterns, and maintainability issues with a mitigation roadmap, fully operationalizable",Refining ChatGPT-generated code: characterizing and mitigating code quality issues
Z92JTT7T,4,discard,medium,Landmark code review case study addresses reviewer practices and satisfaction at scale but has no AI-generated code or oversight-scaling angle,Modern code review: a case study at Google
GSAWSZ3S,3,keep,high,"SVEN method quantifiably controls secure vs unsafe code generation, providing a concrete security-hardening mechanism for LLM code",Large language models for code: security hardening and adversarial testing
NZGCKNZN,3,maybe,medium,"Usability study finds developers struggle to understand, edit, and debug Copilot output, which is oversight-relevant but framed as productivity/UX rather than governance",Expectation vs. Experience: evaluating the usability of code generation tools powered by large language models
RBQUEIJH,3,keep,medium,"Systematically characterizes bias types in LLM-as-judge code evaluators, a risk signal directly relevant to orgs relying on automated code review tools",Don't judge code by its cover: exploring biases in LLM judges for code evaluation
ING3D89M,3,keep,medium,Integrated model of automation complacency and bias is a named transferable mechanism for human oversight of automated/AI systems including code review,Complacency and bias in human use of automation: an attentional integration
ZT4VSP8T,3,keep,high,"Retrieval-based tool measurably improves code review comment recommendation accuracy and speed, directly operationalizing reviewer efficiency","CommentFinder: a simpler, faster, more accurate code review comments recommendation"
E3RQIM7H,3,keep,high,"Pre-trained model benchmarked on code change quality estimation, review comment generation, and code refinement operationalizes review automation",CodeReviewer: pre-training for automating code review activities
6C9ASD4N,3,keep,high,"Empirically derived taxonomy of 10 LLM-generated code bug patterns, validated by practitioner survey, gives orgs a concrete quality assurance signal",Bugs in large language models generated code: an empirical study
IM6DJDEE,3,keep,high,"Proposes concrete org-level human-agent oversight artifacts (Merge-Readiness Packs, Consultation Request Packs) for managing agentic AI code at scale",Agentic software engineering: foundational pillars and a research roadmap
ATIQI9AZ,4,discard,medium,"Survey on developer usability/adoption of Copilot lacks a governance, oversight, or risk-management mechanism beyond usability friction",A large-scale survey on the usability of AI programming assistants: successes and challenges
