item_key,cocite,decision,confidence,rationale
CP6MJGP5,2,discard,low,MISSING-from-model
DGWT3U7T,1,discard,low,MISSING-from-model
4KAD44NX,1,discard,low,MISSING-from-model
R5J6C7ET,1,discard,low,MISSING-from-model
NZ9EJ9EP,1,discard,low,MISSING-from-model
DV52UVA7,1,discard,low,MISSING-from-model
NAFJD4TZ,1,discard,low,MISSING-from-model
592ZJDZ8,1,discard,low,MISSING-from-model
NM7SE5BN,1,discard,low,MISSING-from-model
ICWBZBKE,1,discard,low,MISSING-from-model
2HU5JDV8,1,discard,low,MISSING-from-model
F4ZS7B6Z,1,discard,low,MISSING-from-model
52GU6PT7,1,discard,low,MISSING-from-model
N856C2A4,1,discard,low,MISSING-from-model
ATJHZIVQ,1,discard,low,MISSING-from-model
FU9WE8M2,1,discard,low,MISSING-from-model
T8XV52IT,1,discard,low,MISSING-from-model
ACKV9E5H,1,discard,low,MISSING-from-model
HQ476PES,2,discard,low,MISSING-from-model
DJG4FQ4D,1,discard,low,MISSING-from-model
MH8MPVSQ,1,discard,low,MISSING-from-model
TN9BDU65,1,discard,low,MISSING-from-model
CS873TJE,1,discard,low,MISSING-from-model
F9WVMSGF,1,discard,low,MISSING-from-model
NXUP6XRW,1,discard,low,MISSING-from-model
V9UEBB5D,1,discard,low,MISSING-from-model
X6NZNUV9,1,discard,low,MISSING-from-model
9AEFIVWE,1,discard,low,MISSING-from-model
NGSI4HS9,1,discard,low,MISSING-from-model
D5Z4USM3,1,discard,low,MISSING-from-model
C4EVIJ8J,1,discard,low,MISSING-from-model
GJWI9BUS,1,discard,low,MISSING-from-model
3MPE3Z3B,1,discard,low,MISSING-from-model
6KPQKK76,1,discard,low,MISSING-from-model
XNIDQJMN,1,discard,low,MISSING-from-model
IQ9EVNMM,1,discard,low,MISSING-from-model
Q8S33ARZ,1,discard,low,MISSING-from-model
TITW6KXA,1,discard,low,MISSING-from-model
8MGNXNHI,1,discard,low,MISSING-from-model
CC8R9C3X,2,discard,low,MISSING-from-model
ZH7SB46S,2,discard,low,MISSING-from-model
IB8U92AM,1,discard,low,MISSING-from-model
58E9JJ33,1,discard,low,MISSING-from-model
VEXJ5AVX,1,discard,low,MISSING-from-model
EZIBBVQ6,1,discard,low,MISSING-from-model
ZB937WV8,1,discard,low,MISSING-from-model
4QX2GHZE,1,discard,low,MISSING-from-model
IHBW46NV,1,discard,low,MISSING-from-model
CAT6K95X,1,discard,low,MISSING-from-model
D9BVD73A,1,discard,low,MISSING-from-model
8DAZF6W8,1,discard,low,MISSING-from-model
2N6HGNPV,1,discard,low,MISSING-from-model
KW9ZW6X5,1,discard,low,MISSING-from-model
7F4KDE4B,1,discard,low,MISSING-from-model
MN3F6QM5,1,discard,low,MISSING-from-model
TPX376EN,1,discard,low,MISSING-from-model
MMJS3SUC,1,discard,low,MISSING-from-model
5C2KNCJK,1,discard,low,MISSING-from-model
PC2Z8R9A,1,discard,low,MISSING-from-model
BQFBZ5ID,1,discard,low,MISSING-from-model
59Z7ZFWV,1,discard,low,MISSING-from-model
8S5ZCNHF,1,discard,low,MISSING-from-model
MRSQSUNW,4,discard,low,MISSING-from-model
KEXN2SIC,1,discard,low,MISSING-from-model
X3K4H24Z,1,discard,low,MISSING-from-model
WKC59FP5,2,discard,low,MISSING-from-model
WGE6I677,1,discard,low,MISSING-from-model
XF4QK9V4,1,discard,low,MISSING-from-model
3KNIFUKG,1,discard,low,MISSING-from-model
5GAM3A63,1,discard,low,MISSING-from-model
ZJMEN7T9,2,discard,low,MISSING-from-model
GVJX87H5,1,discard,low,MISSING-from-model
HXG2C4TM,1,discard,low,MISSING-from-model
KTZD9EB7,1,discard,low,MISSING-from-model
29J4P8JV,1,discard,low,MISSING-from-model
G3XJ89W5,1,discard,low,MISSING-from-model
GPA7SSTC,1,discard,low,MISSING-from-model
UWCW3QD7,1,discard,low,MISSING-from-model
MCJPQ4HZ,1,discard,low,MISSING-from-model
AFA7IK7A,1,discard,low,MISSING-from-model
2CP4TCPD,1,discard,low,MISSING-from-model
R7QA2NX6,1,discard,low,MISSING-from-model
DU3W6RJ6,2,discard,low,MISSING-from-model
JM4IGZRF,2,discard,low,MISSING-from-model
GJZH56SA,1,discard,low,MISSING-from-model
MNZ8CXE3,1,discard,low,MISSING-from-model
EB7WNXSM,2,discard,low,MISSING-from-model
IA95RV9I,1,discard,low,MISSING-from-model
SCQGCSQE,1,discard,low,MISSING-from-model
WQAZKTA4,1,discard,low,MISSING-from-model
559MVR8P,1,discard,low,MISSING-from-model
DE7H8T3C,1,discard,low,MISSING-from-model
A2XHQDN8,1,discard,low,MISSING-from-model
CU2GWIDX,1,discard,low,MISSING-from-model
WTMEF4MU,1,discard,low,MISSING-from-model
2D6ZIMU5,2,discard,low,MISSING-from-model
7XIES6HM,1,discard,low,MISSING-from-model
TIAWDDDE,1,discard,low,MISSING-from-model
5T5UIZC4,1,discard,low,MISSING-from-model
JZHFHKBN,1,discard,low,MISSING-from-model
FJESSMC2,1,discard,low,MISSING-from-model
E55CK3W5,1,discard,low,MISSING-from-model
MHCPSW36,2,discard,low,MISSING-from-model
IJXX457I,1,discard,low,MISSING-from-model
WTFTVIP8,1,discard,low,MISSING-from-model
H3UMP3XN,1,discard,low,MISSING-from-model
UAU5364W,1,discard,low,MISSING-from-model
G9VDP4RX,1,discard,low,MISSING-from-model
WEGJU95M,1,discard,low,MISSING-from-model
RXBDGEHM,1,discard,low,MISSING-from-model
PBDV82CF,1,discard,low,MISSING-from-model
A64JU545,1,discard,low,MISSING-from-model
EWKEDW8P,1,discard,low,MISSING-from-model
H2TANSGE,1,discard,low,MISSING-from-model
23SI35RH,2,discard,low,MISSING-from-model
HGRKTF58,1,discard,low,MISSING-from-model
89U6K6D3,1,discard,low,MISSING-from-model
SFK3ESH6,2,discard,low,MISSING-from-model
QNPHI89F,1,discard,low,MISSING-from-model
R94J2R7J,1,discard,low,MISSING-from-model
V63WQNW8,2,discard,low,MISSING-from-model
J2JHHI8K,2,discard,low,MISSING-from-model
UTTJ5N93,2,discard,low,MISSING-from-model
R5TCRDEW,1,discard,low,MISSING-from-model
42ZCZJGG,1,discard,low,MISSING-from-model
R8GMNPJ9,1,discard,low,MISSING-from-model
ANGTC26F,1,discard,low,MISSING-from-model
DVZ82H7K,1,discard,low,MISSING-from-model
86U2Z2NK,1,discard,low,MISSING-from-model
BS2BN44X,1,discard,low,MISSING-from-model
KAD3XIZN,1,discard,low,MISSING-from-model
MGS82H55,1,discard,low,MISSING-from-model
6EFJHXAB,1,discard,low,MISSING-from-model
C4B565G4,1,discard,low,MISSING-from-model
42ZUJVNC,1,discard,low,MISSING-from-model
ERZX3C2T,1,discard,low,MISSING-from-model
FSPCKT75,1,discard,low,MISSING-from-model
DDFSVJCZ,1,discard,low,MISSING-from-model
T3IB2NAA,1,discard,low,MISSING-from-model
XGJAIASK,1,discard,low,MISSING-from-model
P5ITIPMV,1,discard,low,MISSING-from-model
EI2KIHB6,1,discard,low,MISSING-from-model
WTUWX6KF,1,discard,low,MISSING-from-model
H2MK3TWI,1,discard,low,MISSING-from-model
JM3ARP8M,1,discard,low,MISSING-from-model
W75UBQC8,1,discard,low,MISSING-from-model
DMXHRUFZ,1,discard,low,MISSING-from-model
P27W3KSA,1,discard,low,MISSING-from-model
MJM385K4,1,discard,low,MISSING-from-model
K9MGJ427,1,discard,low,MISSING-from-model
MU29VF76,1,discard,low,MISSING-from-model
UGRDJ98K,1,discard,low,MISSING-from-model
F22S7CZC,1,discard,low,MISSING-from-model
9DA5AH44,1,discard,low,MISSING-from-model
VU33QZHD,1,discard,low,MISSING-from-model
P6FGCKU6,1,discard,low,MISSING-from-model
9JKH59WI,1,discard,low,MISSING-from-model
CUC3GVKX,1,discard,low,MISSING-from-model
5UFZ7HH2,1,discard,low,MISSING-from-model
WCWR7K4F,1,discard,low,MISSING-from-model
9HZQ6TBQ,1,discard,low,MISSING-from-model
MZE7HRII,1,discard,low,MISSING-from-model
SSA3FZZX,1,discard,low,MISSING-from-model
JGS5G7B5,1,discard,low,MISSING-from-model
RK8W9PNS,1,discard,low,MISSING-from-model
4DBNA2NB,1,discard,low,MISSING-from-model
TJDFU9FB,1,discard,low,MISSING-from-model
9AE9ZBM4,1,discard,low,MISSING-from-model
ITGGCUWD,1,discard,low,MISSING-from-model
AV8XQKK8,1,discard,low,MISSING-from-model
MJ4ZZZPQ,1,discard,low,MISSING-from-model
NKSUT3KK,1,discard,low,MISSING-from-model
VJQFUWX9,1,discard,low,MISSING-from-model
8WU8FQ8Z,2,discard,low,MISSING-from-model
E8TJRMEG,2,discard,low,MISSING-from-model
BKTDMG34,2,discard,low,MISSING-from-model
